epoch,train_loss,val_loss,val_acc
1,0.744933,0.693041,0.500000
2,0.638816,0.697670,0.500000
3,0.505182,0.711056,0.500000
4,0.394341,0.731681,0.500000
5,0.306786,0.740070,0.500000
6,0.286235,0.741067,0.500000
7,0.235952,0.760581,0.500000
8,0.209862,0.794767,0.500000
9,0.175549,0.764809,0.500000
10,0.144406,0.717602,0.500000
11,0.119170,0.699606,0.500000
12,0.314313,0.700827,0.500000
13,0.128985,0.735080,0.500000
14,0.106436,0.737979,0.500000
15,0.090102,0.724299,0.500000
16,0.096607,0.687476,0.500000
17,0.085316,0.668242,0.500000
18,0.076600,0.795674,0.500000
19,0.078387,1.094219,0.500000
20,0.221670,1.186634,0.500000
21,0.077387,1.161577,0.500000
22,0.066473,0.901906,0.500000
23,0.291912,0.594455,0.500000
24,0.090803,0.548858,0.500000
25,0.145752,1.322317,0.500000
26,0.064603,3.049568,0.500000
27,0.066322,4.309187,0.500000
28,0.263177,4.993937,0.500000
29,0.072901,4.804468,0.500000
30,0.084310,4.074047,0.500000
31,0.092958,2.978839,0.500000
32,0.109032,1.672357,0.500000
33,0.076199,0.197475,1.000000
34,0.340270,0.914924,0.500000
35,0.097242,1.680521,0.500000
36,0.147686,1.368574,0.500000
37,0.111547,0.690282,0.500000
38,0.099277,0.292645,1.000000
39,0.074957,0.956463,0.500000
40,0.293206,1.267466,0.500000
41,0.050451,0.711533,0.500000
42,0.055516,0.308618,1.000000
43,0.044931,0.135328,1.000000
44,0.045562,0.124659,1.000000
45,0.039021,0.123622,1.000000
46,0.037754,0.112095,1.000000
47,0.034500,0.100609,1.000000
48,0.031948,0.104936,1.000000
49,0.030084,0.128574,1.000000
50,0.028407,0.150784,1.000000
