epoch,train_loss,val_loss,val_acc
1,0.717132,0.692472,0.500000
2,0.555780,0.711234,0.500000
3,0.400171,0.774959,0.500000
4,0.315317,0.883540,0.500000
5,0.292727,1.196602,0.500000
6,0.230160,1.379897,0.500000
7,0.226052,1.154969,0.500000
8,0.249613,1.577999,0.500000
9,0.283458,1.058519,0.500000
10,0.171510,0.950383,0.500000
11,0.199499,1.101355,0.500000
12,0.131127,0.861796,0.500000
13,0.126434,0.653094,0.500000
14,0.080539,0.684828,0.500000
15,0.078280,0.688546,0.500000
16,0.085654,0.653659,0.500000
17,0.071787,0.985866,0.500000
18,0.067162,1.052092,0.500000
19,0.108180,0.533693,0.666667
20,0.067880,1.018415,0.500000
21,0.119357,0.397646,0.833333
22,0.047255,0.228594,1.000000
23,0.047019,0.324331,0.833333
24,0.048173,0.826813,0.666667
25,0.038549,0.901949,0.666667
26,0.114623,0.229131,1.000000
27,0.137724,2.248982,0.500000
28,0.069771,0.071035,1.000000
29,0.063005,1.327837,0.500000
30,0.031292,3.221020,0.500000
31,0.264063,0.593622,0.833333
32,0.092699,0.977803,0.500000
33,0.070901,2.847399,0.500000
34,0.071407,0.567384,0.666667
35,0.153991,0.127228,1.000000
36,0.038979,0.875813,0.666667
37,0.044775,0.161702,1.000000
38,0.133527,3.584000,0.500000
39,0.125022,1.570101,0.500000
40,0.065556,0.130449,1.000000
41,0.029885,0.171020,1.000000
42,0.042249,0.146247,1.000000
43,0.037425,0.228325,0.833333
44,0.021069,0.503499,0.833333
45,0.031820,0.374984,0.833333
46,0.095588,0.102843,1.000000
47,0.026829,0.169103,0.833333
48,0.113157,0.359651,0.833333
49,0.037062,0.978369,0.666667
50,0.016874,0.841949,0.666667
1,0.734941,0.701274,0.500000
2,0.584736,0.753143,0.500000
3,0.432501,0.849897,0.500000
4,0.357395,0.940130,0.500000
5,0.352586,1.203756,0.500000
6,0.274043,1.090201,0.500000
7,0.255944,1.008175,0.500000
8,0.249657,1.054981,0.500000
9,0.252685,1.061550,0.500000
10,0.185621,0.830899,0.500000
11,0.199990,0.828242,0.500000
12,0.126194,1.013407,0.500000
13,0.122738,0.829373,0.500000
14,0.085041,0.710193,0.500000
15,0.082243,1.001564,0.500000
16,0.087478,1.124459,0.500000
17,0.063471,1.023765,0.500000
18,0.075195,0.968711,0.500000
19,0.113517,1.156637,0.500000
20,0.076592,1.114698,0.500000
21,0.146917,0.631120,0.666667
22,0.063625,0.142465,1.000000
23,0.058312,1.239121,0.500000
24,0.053123,1.926643,0.500000
25,0.045870,1.798828,0.500000
26,0.132766,0.246896,0.833333
27,0.127766,0.868963,0.500000
28,0.086361,0.273910,1.000000
29,0.083072,1.336217,0.500000
30,0.045667,1.606603,0.500000
31,0.266565,0.270907,0.833333
32,0.029946,0.384792,0.666667
33,0.038680,0.260960,1.000000
34,0.063560,0.100477,1.000000
35,0.117791,0.230048,0.833333
36,0.027155,0.153114,1.000000
37,0.019402,0.164973,0.833333
38,0.114614,4.586742,0.500000
39,0.079677,0.034574,1.000000
40,0.064314,1.798589,0.500000
41,0.022637,1.458361,0.666667
42,0.024468,0.153405,1.000000
43,0.021934,0.402658,0.833333
44,0.014901,0.545769,0.833333
45,0.023072,1.115530,0.666667
46,0.074044,3.665379,0.500000
47,0.098231,1.725413,0.500000
48,0.098297,0.615231,0.666667
49,0.072346,0.051268,1.000000
50,0.015268,0.083178,1.000000
1,0.724702,0.687764,0.555556
