epoch,train_loss,val_loss,val_acc
1,0.723883,0.699211,0.444444
2,0.670941,0.697060,0.444444
3,0.642047,0.687898,0.555556
4,0.584655,0.679411,0.555556
5,0.547773,0.680545,0.555556
6,0.489647,0.721931,0.555556
7,0.620878,0.774547,0.555556
8,0.447024,0.792758,0.555556
9,0.433599,0.905254,0.555556
10,0.415954,1.029759,0.555556
11,0.386514,0.942600,0.555556
12,0.350148,0.958757,0.555556
13,0.377054,0.948183,0.555556
14,0.364462,0.961699,0.555556
15,0.395544,1.004944,0.555556
16,0.291101,0.846288,0.555556
17,0.268481,0.841392,0.555556
18,0.276618,0.763934,0.555556
19,0.288599,0.490941,0.555556
20,0.356833,0.981632,0.555556
21,0.323673,0.445177,0.666667
22,0.351030,0.323709,1.000000
23,0.324456,1.275411,0.555556
24,0.257212,1.794179,0.555556
25,0.362731,1.215260,0.555556
26,0.229674,0.719821,0.555556
27,0.225819,0.408131,0.888889
28,0.205955,0.295215,0.888889
29,0.210242,0.673724,0.555556
30,0.194998,0.597653,0.555556
31,0.206749,0.197069,1.000000
32,0.182563,0.199994,0.888889
33,0.224740,0.316019,0.888889
34,0.209092,0.280766,0.888889
35,0.232859,0.231034,0.888889
36,0.148037,0.450892,0.777778
37,0.130849,0.748545,0.555556
38,0.138744,0.327409,0.888889
39,0.152781,0.199869,0.888889
40,0.106233,0.215483,0.888889
41,0.160051,0.325743,0.888889
42,0.126626,0.318066,0.888889
43,0.126176,0.940531,0.555556
44,0.285827,0.448752,0.666667
45,0.128380,0.569810,0.777778
46,0.112439,1.907977,0.555556
47,0.173282,1.330986,0.555556
48,0.106469,0.561633,0.777778
49,0.133331,0.427341,0.777778
50,0.084662,0.581687,0.777778
