rank,cv_acc_fast,feature_dim,grids
1,0.623737,91000,30+40
2,0.623737,216125,45+50
3,0.623737,251000,20+30+60
4,0.623737,258625,25+30+60
5,0.623737,133875,30+35+40
6,0.595960,99125,20+45
7,0.595960,133000,20+50
8,0.595960,106750,25+45
9,0.595960,140625,25+50
10,0.595960,231625,25+60
11,0.595960,118125,30+45
12,0.595960,152000,30+50
13,0.595960,243000,30+60
14,0.595960,106875,35+40
15,0.595960,134000,35+45
16,0.595960,258875,35+60
17,0.595960,155125,40+45
18,0.595960,189000,40+50
19,0.595960,307125,45+60
20,0.595960,239625,20+25+60
21,0.595960,298250,20+25+65
22,0.595960,160000,20+30+50
23,0.595960,309625,20+30+65
24,0.595960,175875,20+35+50
25,0.595960,266875,20+35+60
26,0.595960,325500,20+35+65
27,0.595960,163125,20+40+45
28,0.595960,197000,20+40+50
29,0.595960,224125,20+45+50
30,0.595960,315125,20+45+60
31,0.595960,373750,20+45+65
32,0.595960,349000,20+50+60
33,0.595960,407625,20+50+65
34,0.595960,167625,25+30+50
35,0.595960,209000,25+30+55
36,0.595960,317250,25+30+65
37,0.595960,183500,25+35+50
38,0.595960,224875,25+35+55
39,0.595960,274500,25+35+60
40,0.595960,333125,25+35+65
41,0.595960,170750,25+40+45
42,0.595960,204625,25+40+50
43,0.595960,295625,25+40+60
44,0.595960,354250,25+40+65
45,0.595960,231750,25+45+50
46,0.595960,273125,25+45+55
47,0.595960,322750,25+45+60
48,0.595960,381375,25+45+65
49,0.595960,307000,25+50+55
50,0.595960,356625,25+50+60
51,0.595960,415250,25+50+65
52,0.595960,161000,30+35+45
53,0.595960,194875,30+35+50
54,0.595960,236250,30+35+55
55,0.595960,285875,30+35+60
56,0.595960,344500,30+35+65
57,0.595960,182125,30+40+45
58,0.595960,216000,30+40+50
59,0.595960,307000,30+40+60
60,0.595960,365625,30+40+65
61,0.595960,243125,30+45+50
62,0.595960,284500,30+45+55
63,0.595960,334125,30+45+60
64,0.595960,392750,30+45+65
65,0.595960,318375,30+50+55
66,0.595960,368000,30+50+60
67,0.595960,426625,30+50+65
68,0.595960,198000,35+40+45
69,0.595960,322875,35+40+60
70,0.595960,381500,35+40+65
71,0.595960,259000,35+45+50
72,0.595960,300375,35+45+55
73,0.595960,350000,35+45+60
74,0.595960,408625,35+45+65
75,0.595960,334250,35+50+55
76,0.595960,383875,35+50+60
77,0.595960,442500,35+50+65
78,0.595960,280125,40+45+50
79,0.595960,371125,40+45+60
80,0.595960,429750,40+45+65
81,0.595960,405000,40+50+60
82,0.595960,463625,40+50+65
83,0.595960,382500,45+50+55
84,0.595960,432125,45+50+60
85,0.595960,490750,45+50+65
86,0.593434,79625,25+40
87,0.568182,174375,20+55
88,0.568182,182000,25+55
89,0.568182,290250,25+65
90,0.568182,193375,30+55
91,0.568182,301625,30+65
92,0.568182,167875,35+50
93,0.568182,209250,35+55
94,0.568182,317500,35+65
95,0.568182,230375,40+55
96,0.568182,280000,40+60
97,0.568182,257500,45+55
98,0.568182,365750,45+65
99,0.568182,341000,50+60
100,0.568182,399625,50+65
101,0.568182,126125,20+30+45
102,0.568182,201375,20+30+55
103,0.568182,142000,20+35+45
104,0.568182,217250,20+35+55
105,0.568182,238375,20+40+55
106,0.568182,288000,20+40+60
107,0.568182,346625,20+40+65
108,0.568182,265500,20+45+55
109,0.568182,390375,20+55+60
110,0.568182,133750,25+30+45
111,0.568182,149625,25+35+45
112,0.568182,246000,25+40+55
113,0.568182,398000,25+55+60
114,0.568182,257375,30+40+55
115,0.568182,409375,30+55+60
116,0.568182,231875,35+40+50
117,0.568182,273250,35+40+55
118,0.568182,425250,35+55+60
119,0.568182,321500,40+45+55
120,0.568182,355375,40+50+55
121,0.568182,446375,40+55+60
122,0.568182,473500,45+55+60
123,0.565657,72000,20+40
124,0.565657,148625,20+25+50
125,0.565657,50875,20+35
126,0.565657,42625,25+30
127,0.565657,58500,25+35
128,0.565657,69875,30+35
129,0.565657,50625,20+25+30
130,0.565657,66500,20+25+35
131,0.565657,87625,20+25+40
132,0.565657,77875,20+30+35
133,0.565657,99000,20+30+40
134,0.565657,114875,20+35+40
135,0.565657,85500,25+30+35
136,0.565657,106625,25+30+40
137,0.565657,122500,25+35+40
138,0.540404,338625,40+65
139,0.540404,456625,25+55+65
140,0.540404,412875,30+35+70
141,0.540404,468000,30+55+65
142,0.540404,483875,35+55+65
143,0.540404,505000,40+55+65
144,0.540404,532125,45+55+65
145,0.540404,566000,50+55+65
146,0.540404,224000,20+60
147,0.540404,291375,50+55
148,0.540404,299375,20+50+55
149,0.540404,449000,20+55+65
150,0.540404,507375,50+55+60
151,0.537879,23625,20+25
152,0.537879,35000,20+30
153,0.537879,114750,20+25+45
154,0.537879,190000,20+25+55
155,0.512626,366625,20+25+70
156,0.512626,378000,20+30+70
157,0.512626,393875,20+35+70
158,0.512626,415000,20+40+70
159,0.512626,442125,20+45+70
160,0.512626,385625,25+30+70
161,0.512626,401500,25+35+70
162,0.512626,434000,30+40+70
163,0.512626,461125,30+45+70
164,0.512626,449875,35+40+70
165,0.512626,477000,35+45+70
166,0.512626,533500,35+60+65
167,0.512626,498125,40+45+70
168,0.512626,554625,40+60+65
169,0.512626,581750,45+60+65
170,0.484848,282625,20+65
171,0.484848,407000,40+70
172,0.484848,382375,55+60
173,0.484848,476000,20+50+70
174,0.484848,517375,20+55+70
175,0.484848,422625,25+40+70
176,0.484848,449750,25+45+70
177,0.484848,483625,25+50+70
178,0.484848,525000,25+55+70
179,0.484848,512875,30+40+75
180,0.484848,495000,30+50+70
181,0.484848,536375,30+55+70
182,0.484848,517625,30+60+65
183,0.484848,528750,35+40+75
184,0.484848,510875,35+50+70
185,0.484848,589750,35+50+75
186,0.484848,552250,35+55+70
187,0.484848,577000,40+45+75
188,0.484848,532000,40+50+70
189,0.484848,610875,40+50+75
190,0.484848,573375,40+55+70
191,0.484848,623000,40+60+70
192,0.484848,559125,45+50+70
193,0.484848,600500,45+55+70
194,0.484848,634375,50+55+70
195,0.484848,615625,50+60+65
196,0.484848,657000,55+60+65
197,0.484848,725375,55+60+70
198,0.457071,370000,30+70
199,0.457071,385875,35+70
200,0.457071,434125,45+70
201,0.457071,468000,50+70
202,0.457071,441000,55+65
203,0.457071,509375,55+70
204,0.457071,588250,55+75
205,0.457071,490625,60+65
206,0.457071,554875,20+50+75
207,0.457071,498625,20+60+65
208,0.457071,567000,20+60+70
209,0.457071,501500,25+40+75
210,0.457071,562500,25+50+75
211,0.457071,506250,25+60+65
212,0.457071,574625,25+60+70
213,0.457071,491750,30+35+75
214,0.457071,573875,30+50+75
215,0.457071,615250,30+55+75
216,0.457071,586000,30+60+70
217,0.457071,555875,35+45+75
218,0.457071,631125,35+55+75
219,0.457071,601875,35+60+70
220,0.457071,652250,40+55+75
221,0.457071,681625,40+65+70
222,0.457071,638000,45+50+75
223,0.457071,679375,45+55+75
224,0.457071,650125,45+60+70
225,0.457071,708750,45+65+70
226,0.457071,713250,50+55+75
227,0.457071,684000,50+60+70
228,0.457071,762875,50+60+75
229,0.457071,742625,50+65+70
230,0.457071,784000,55+65+70
231,0.429293,358625,25+70
