rank,cv_acc_fast,feature_dim,grids
1,0.628788,65000,10+40
2,0.628788,106750,25+45
3,0.628788,118125,30+45
4,0.628788,73000,10+20+40
5,0.628788,107750,10+25+45
6,0.628788,110125,15+25+45
7,0.628788,114750,20+25+45
8,0.628788,142000,20+35+45
9,0.628788,163125,20+40+45
10,0.628788,170750,25+40+45
11,0.628788,182125,30+40+45
12,0.601010,43875,10+35
13,0.601010,50875,20+35
14,0.601010,99125,20+45
15,0.601010,58500,25+35
16,0.601010,106875,35+40
17,0.601010,134000,35+45
18,0.601010,155125,40+45
19,0.601010,189000,40+50
20,0.601010,51875,10+20+35
21,0.601010,59500,10+25+35
22,0.601010,107875,10+35+40
23,0.601010,135000,10+35+45
24,0.601010,156125,10+40+45
25,0.601010,190000,10+40+50
26,0.601010,137375,15+35+45
27,0.601010,158500,15+40+45
28,0.601010,192375,15+40+50
29,0.601010,114875,20+35+40
30,0.601010,197000,20+40+50
31,0.601010,122500,25+35+40
32,0.601010,149625,25+35+45
33,0.601010,231750,25+45+50
34,0.601010,161000,30+35+45
35,0.601010,198000,35+40+45
36,0.601010,259000,35+45+50
37,0.601010,280125,40+45+50
38,0.601010,100125,10+20+45
39,0.601010,119125,10+30+45
40,0.601010,102500,15+20+45
41,0.598485,68375,10+15+40
42,0.598485,75375,15+20+40
43,0.598485,126125,20+30+45
44,0.573232,92125,10+45
45,0.573232,126000,10+50
46,0.573232,94500,15+45
47,0.573232,133000,20+50
48,0.573232,140625,25+50
49,0.573232,167875,35+50
50,0.573232,216125,45+50
51,0.573232,95500,10+15+45
52,0.573232,129375,10+15+50
53,0.573232,134000,10+20+50
54,0.573232,141625,10+25+50
55,0.573232,168875,10+35+50
56,0.573232,217125,10+45+50
57,0.573232,171250,15+35+50
58,0.573232,219500,15+45+50
59,0.573232,148625,20+25+50
60,0.573232,175875,20+35+50
61,0.573232,224125,20+45+50
62,0.573232,183500,25+35+50
63,0.573232,204625,25+40+50
64,0.573232,194875,30+35+50
65,0.573232,216000,30+40+50
66,0.573232,243125,30+45+50
67,0.573232,231875,35+40+50
68,0.573232,300375,35+45+55
69,0.570707,16625,10+25
70,0.570707,23625,20+25
71,0.570707,72000,20+40
72,0.570707,42625,25+30
73,0.570707,79625,25+40
74,0.570707,69875,30+35
75,0.570707,91000,30+40
76,0.570707,20000,10+15+25
77,0.570707,24625,10+20+25
78,0.570707,43625,10+25+30
79,0.570707,80625,10+25+40
80,0.570707,70875,10+30+35
81,0.570707,92000,10+30+40
82,0.570707,27000,15+20+25
83,0.570707,46000,15+25+30
84,0.570707,83000,15+25+40
85,0.570707,73250,15+30+35
86,0.570707,94375,15+30+40
87,0.570707,110250,15+35+40
88,0.570707,50625,20+25+30
89,0.570707,87625,20+25+40
90,0.570707,77875,20+30+35
91,0.570707,99000,20+30+40
92,0.570707,85500,25+30+35
93,0.570707,106625,25+30+40
94,0.570707,133750,25+30+45
95,0.570707,167625,25+30+50
96,0.570707,133875,30+35+40
97,0.570707,67375,15+40
98,0.570707,121500,15+30+45
99,0.545455,152000,30+50
100,0.545455,193375,30+55
101,0.545455,230375,40+55
102,0.545455,257500,45+55
103,0.545455,153000,10+30+50
104,0.545455,194375,10+30+55
105,0.545455,231375,10+40+55
106,0.545455,258500,10+45+55
107,0.545455,233750,15+40+55
108,0.545455,260875,15+45+55
109,0.545455,201375,20+30+55
110,0.545455,238375,20+40+55
111,0.545455,265500,20+45+55
112,0.545455,209000,25+30+55
113,0.545455,246000,25+40+55
114,0.545455,273125,25+45+55
115,0.545455,257375,30+40+55
116,0.545455,284500,30+45+55
117,0.545455,318375,30+50+55
118,0.545455,273250,35+40+55
119,0.545455,321500,40+45+55
120,0.545455,355375,40+50+55
121,0.545455,382500,45+50+55
122,0.542929,28000,10+30
123,0.542929,30375,15+30
124,0.542929,35000,20+30
125,0.542929,31375,10+15+30
126,0.542929,36000,10+20+30
127,0.542929,38375,15+20+30
128,0.542929,136375,15+20+50
129,0.542929,160000,20+30+50
130,0.542929,371125,40+45+60
131,0.540404,9000,10+20
132,0.540404,19000,15+25
133,0.540404,46250,15+35
134,0.540404,47250,10+15+35
135,0.540404,54250,15+20+35
136,0.540404,61875,15+25+35
137,0.540404,144000,15+25+50
138,0.540404,66500,20+25+35
139,0.540404,4375,10+15
140,0.540404,11375,15+20
141,0.540404,12375,10+15+20
142,0.517677,236250,30+35+55
143,0.515152,128375,15+50
144,0.515152,209250,35+55
145,0.515152,210250,10+35+55
146,0.515152,292375,10+50+55
147,0.515152,155375,15+30+50
148,0.515152,212625,15+35+55
149,0.515152,190000,20+25+55
150,0.515152,217250,20+35+55
151,0.515152,299375,20+50+55
152,0.515152,224875,25+35+55
153,0.515152,307000,25+50+55
154,0.515152,334250,35+50+55
155,0.512626,322750,25+45+60
156,0.512626,432125,45+50+60
157,0.487374,167375,10+55
158,0.487374,169750,15+55
159,0.487374,174375,20+55
160,0.487374,182000,25+55
161,0.487374,291375,50+55
162,0.487374,170750,10+15+55
163,0.487374,175375,10+20+55
164,0.487374,183000,10+25+55
165,0.487374,177750,15+20+55
166,0.487374,185375,15+25+55
167,0.487374,294750,15+50+55
168,0.487374,307000,30+40+60
169,0.484848,281000,10+40+60
170,0.484848,308125,10+45+60
171,0.484848,196750,15+30+55
172,0.484848,266875,20+35+60
173,0.484848,315125,20+45+60
174,0.484848,285875,30+35+60
175,0.484848,334125,30+45+60
176,0.484848,350000,35+45+60
177,0.484848,383875,35+50+60
178,0.484848,446375,40+55+60
179,0.457071,243000,30+60
180,0.457071,258875,35+60
181,0.457071,280000,40+60
182,0.457071,307125,45+60
183,0.457071,244000,10+30+60
184,0.457071,259875,10+35+60
185,0.457071,246375,15+30+60
186,0.457071,262250,15+35+60
187,0.457071,283375,15+40+60
188,0.457071,310500,15+45+60
189,0.457071,239625,20+25+60
190,0.457071,251000,20+30+60
191,0.457071,288000,20+40+60
192,0.457071,349000,20+50+60
193,0.457071,274500,25+35+60
194,0.457071,295625,25+40+60
195,0.457071,356625,25+50+60
196,0.457071,398000,25+55+60
197,0.457071,368000,30+50+60
198,0.457071,409375,30+55+60
199,0.457071,322875,35+40+60
200,0.457071,425250,35+55+60
201,0.457071,405000,40+50+60
202,0.429293,341000,50+60
203,0.429293,232625,10+25+60
204,0.429293,342000,10+50+60
205,0.429293,235000,15+25+60
206,0.429293,344375,15+50+60
207,0.429293,390375,20+55+60
208,0.429293,258625,25+30+60
209,0.429293,473500,45+55+60
210,0.429293,507375,50+55+60
211,0.401515,231625,25+60
212,0.401515,382375,55+60
213,0.401515,225000,10+20+60
214,0.401515,383375,10+55+60
215,0.401515,227375,15+20+60
216,0.401515,385750,15+55+60
217,0.345960,217000,10+60
218,0.345960,219375,15+60
219,0.345960,224000,20+60
220,0.345960,220375,10+15+60
