data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
ALL\mouth_ply,dens,5,0.8106666666666666,0.822857142857143,125,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,10,0.8053333333333333,0.8217142857142857,1000,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,15,0.8,0.809142857142857,3375,1250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,20,0.7813333333333333,0.8057142857142857,8000,1250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,25,0.7866666666666666,0.8160000000000001,15625,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,30,0.7813333333333333,0.8137142857142857,27000,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,35,0.792,0.8160000000000001,42875,1250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,40,0.8026666666666666,0.8240000000000001,64000,1250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,45,0.7946666666666666,0.8240000000000001,91125,1250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,dens,50,0.7813333333333333,0.8217142857142857,125000,1250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
