data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
KH\mouth_ply,dens,5,0.6,0.5771428571428572,125,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,10,0.6,0.6228571428571429,1000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,15,0.6,0.6,3375,250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
KH\mouth_ply,dens,20,0.6133333333333333,0.6,8000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,25,0.6666666666666666,0.6285714285714286,15625,250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,30,0.7066666666666667,0.5885714285714285,27000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,35,0.5733333333333334,0.6,42875,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,40,0.6266666666666667,0.6285714285714284,64000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,45,0.5866666666666667,0.6171428571428571,91125,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
KH\mouth_ply,dens,50,0.56,0.6114285714285714,125000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
