data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
NT\mouth_ply,dens,5,0.8533333333333334,0.9199999999999999,125,250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
NT\mouth_ply,dens,10,0.88,0.9028571428571428,1000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,15,0.8933333333333333,0.9199999999999999,3375,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,20,0.92,0.9199999999999999,8000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,25,0.9066666666666666,0.9371428571428572,15625,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,30,0.92,0.9485714285714286,27000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,35,0.92,0.96,42875,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,40,0.92,0.9542857142857143,64000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,45,0.9333333333333333,0.9485714285714286,91125,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,dens,50,0.9333333333333333,0.9485714285714286,125000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
