data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
YR\mouth_ply,dens,5,0.8533333333333334,0.9028571428571428,125,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,10,0.8266666666666667,0.8571428571428571,1000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,15,0.84,0.8285714285714286,3375,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,20,0.8,0.8171428571428573,8000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,25,0.8266666666666667,0.8514285714285714,15625,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,30,0.84,0.8628571428571428,27000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,35,0.8533333333333334,0.8628571428571428,42875,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,40,0.8666666666666667,0.8914285714285715,64000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,45,0.88,0.8742857142857142,91125,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
YR\mouth_ply,dens,50,0.8933333333333333,0.8857142857142858,125000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
