data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
ALL\mouth_ply,occ,5,0.7333333333333333,0.7611428571428572,125,1250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
ALL\mouth_ply,occ,10,0.8373333333333334,0.8194285714285714,1000,1250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,15,0.8186666666666667,0.8514285714285714,3375,1250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,20,0.8213333333333334,0.8480000000000001,8000,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,25,0.8186666666666667,0.8434285714285714,15625,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,30,0.8106666666666666,0.830857142857143,27000,1250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,35,0.8186666666666667,0.8297142857142857,42875,1250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,40,0.8053333333333333,0.8297142857142857,64000,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,45,0.8053333333333333,0.8297142857142857,91125,1250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
ALL\mouth_ply,occ,50,0.8,0.8240000000000001,125000,1250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
