data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
KH\mouth_ply,occ,5,0.52,0.5657142857142857,125,250,"{""svc__C"": 0.1, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,10,0.56,0.5885714285714286,1000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,15,0.6533333333333333,0.6285714285714286,3375,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,20,0.6533333333333333,0.6342857142857142,8000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,25,0.6533333333333333,0.6514285714285715,15625,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,30,0.6933333333333334,0.6228571428571428,27000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,35,0.6933333333333334,0.6,42875,250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,40,0.6933333333333334,0.6114285714285714,64000,250,"{""svc__C"": 20, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,45,0.72,0.5999999999999999,91125,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
KH\mouth_ply,occ,50,0.68,0.6114285714285714,125000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
