data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
NT\mouth_ply,occ,5,0.8666666666666667,0.9142857142857143,125,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
NT\mouth_ply,occ,10,0.9333333333333333,0.9714285714285713,1000,250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
NT\mouth_ply,occ,15,0.9466666666666667,0.9714285714285713,3375,250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
NT\mouth_ply,occ,20,0.9466666666666667,0.9657142857142856,8000,250,"{""svc__C"": 5, ""svc__gamma"": ""scale""}"
NT\mouth_ply,occ,25,0.9466666666666667,0.96,15625,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,occ,30,0.9466666666666667,0.9542857142857143,27000,250,"{""svc__C"": 3, ""svc__gamma"": ""scale""}"
NT\mouth_ply,occ,35,0.9333333333333333,0.9542857142857143,42875,250,"{""svc__C"": 1, ""svc__gamma"": ""scale""}"
NT\mouth_ply,occ,40,0.92,0.9542857142857143,64000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,occ,45,0.92,0.9542857142857143,91125,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
NT\mouth_ply,occ,50,0.9333333333333333,0.9542857142857143,125000,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
