data_root,feature_mode,grid,test_accuracy,best_cv_score,feature_dim,samples,best_params
SR\mouth_ply,occ,5,0.9066666666666666,0.9199999999999999,125,250,"{""svc__C"": 10, ""svc__gamma"": ""scale""}"
SR\mouth_ply,occ,10,0.9733333333333334,0.9485714285714286,1000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,15,0.9466666666666667,0.9485714285714286,3375,250,"{""svc__C"": 3, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,20,0.9733333333333334,0.937142857142857,8000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,25,0.9733333333333334,0.9428571428571428,15625,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,30,0.96,0.937142857142857,27000,250,"{""svc__C"": 5, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,35,0.96,0.9485714285714286,42875,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,40,0.96,0.9371428571428572,64000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,45,0.96,0.9371428571428572,91125,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
SR\mouth_ply,occ,50,0.96,0.9314285714285715,125000,250,"{""svc__C"": 10, ""svc__gamma"": ""auto""}"
