timestamp,pred_label,pred_pct,p_sakana,p_shakana,p_takana,p_thakana,p_tyakana
2026-02-04 18:34:30,tyakana,46.8,8.525,16.414,7.380,20.915,46.766
2026-02-04 18:34:48,tyakana,37.4,9.980,20.601,10.627,21.352,37.439
2026-02-04 18:35:00,takana,43.9,10.170,12.582,43.867,18.333,15.048
2026-02-04 18:35:10,tyakana,63.8,4.922,16.701,5.848,8.752,63.777
2026-02-04 18:35:16,tyakana,32.3,10.371,24.177,14.448,18.696,32.308
2026-02-04 18:35:23,tyakana,37.7,8.603,26.937,10.582,16.133,37.745
2026-02-04 18:35:49,tyakana,25.9,11.701,23.495,17.200,21.682,25.923
2026-02-04 18:35:58,thakana,50.1,9.095,15.963,11.544,50.133,13.264
2026-02-04 18:36:04,tyakana,38.0,9.175,24.871,11.679,16.310,37.966
2026-02-04 18:36:08,tyakana,26.8,11.522,23.243,16.868,21.551,26.817
2026-02-04 18:36:14,tyakana,24.0,12.229,22.436,18.274,23.044,24.016
2026-02-04 18:38:19,sakana,47.8,47.840,4.740,29.976,13.246,4.198
2026-02-04 18:38:23,takana,44.8,6.285,15.599,44.754,9.399,23.963
2026-02-04 18:38:29,takana,35.2,12.367,17.557,35.248,20.351,14.476
2026-02-04 18:38:34,takana,45.2,9.180,15.584,45.151,14.015,16.070
2026-02-04 18:38:43,takana,46.9,8.065,16.454,46.903,12.130,16.449
2026-02-04 18:38:47,takana,39.8,11.546,16.198,39.797,18.917,13.541
2026-02-04 18:38:51,takana,33.3,13.093,17.058,33.273,21.862,14.713
2026-02-04 18:38:56,takana,37.8,11.251,17.238,37.751,18.357,15.402
2026-02-04 18:39:00,takana,36.5,11.523,18.515,36.509,18.599,14.855
2026-02-04 18:39:53,takana,49.8,8.711,11.818,49.824,11.547,18.099
2026-02-04 18:40:14,takana,33.4,13.171,16.470,33.417,22.075,14.867
2026-02-04 18:51:09,takana,43.3,21.177,11.941,43.275,14.032,9.574
2026-02-04 18:51:22,takana,44.5,7.774,11.062,44.491,9.598,27.074
