epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,153.853,1.6069,0.21333,1,1.55118,0.00023331,0.00023331,0.00023331
2,286.04,1.55168,0.32,1,1.48504,0.000473,0.000473,0.000473
3,415.992,1.48201,0.36,1,1.41844,0.000707851,0.000707851,0.000707851
4,552.465,1.50254,0.38667,1,1.39694,0.000937863,0.000937863,0.000937863
5,689.897,1.45455,0.36,1,1.4023,0.001067,0.001067,0.001067
6,827.04,1.48415,0.25333,1,1.60968,0.00105601,0.00105601,0.00105601
7,962.852,1.4599,0.39333,1,1.34286,0.00104501,0.00104501,0.00104501
8,1099.26,1.38718,0.41333,1,1.35663,0.00103401,0.00103401,0.00103401
9,1237.48,1.38012,0.38667,1,1.37847,0.00102301,0.00102301,0.00102301
10,1373.03,1.31638,0.34,1,1.51775,0.00101201,0.00101201,0.00101201
11,1507.85,1.36591,0.46,1,1.33348,0.00100101,0.00100101,0.00100101
12,1643.08,1.29834,0.52667,1,1.14781,0.000990012,0.000990012,0.000990012
13,1778.16,1.32199,0.30667,1,1.57464,0.000979013,0.000979013,0.000979013
14,1912.25,1.28402,0.43333,1,1.28382,0.000968014,0.000968014,0.000968014
15,2047.48,1.20304,0.45333,1,1.20272,0.000957015,0.000957015,0.000957015
16,2182.11,1.21462,0.40667,1,1.40552,0.000946016,0.000946016,0.000946016
17,2317.05,1.13893,0.51333,1,1.14307,0.000935018,0.000935018,0.000935018
18,2451.82,1.1199,0.33333,1,1.39884,0.000924019,0.000924019,0.000924019
19,2586.87,1.01164,0.56,1,0.99354,0.00091302,0.00091302,0.00091302
20,2721.55,1.06939,0.48667,1,1.19697,0.000902021,0.000902021,0.000902021
21,2855.93,1.03158,0.54667,1,0.98753,0.000891022,0.000891022,0.000891022
22,2989.78,1.07429,0.54,1,1.33181,0.000880023,0.000880023,0.000880023
23,3124.42,1.06643,0.50667,1,1.1479,0.000869024,0.000869024,0.000869024
24,3258.39,0.95506,0.52667,1,1.13448,0.000858025,0.000858025,0.000858025
25,3392.87,0.99397,0.44,1,1.42044,0.000847026,0.000847026,0.000847026
26,3527.9,0.96332,0.52667,1,1.07834,0.000836027,0.000836027,0.000836027
27,3662.53,0.9892,0.58667,1,0.9129,0.000825029,0.000825029,0.000825029
28,3797.49,0.9272,0.54,1,1.1195,0.00081403,0.00081403,0.00081403
29,3931.76,0.97412,0.62667,1,1.00665,0.000803031,0.000803031,0.000803031
30,4065.7,0.87459,0.60667,1,1.03439,0.000792032,0.000792032,0.000792032
31,4199.85,0.86334,0.63333,1,0.96668,0.000781033,0.000781033,0.000781033
32,4334.29,0.9276,0.56,1,0.99789,0.000770034,0.000770034,0.000770034
33,4468.37,0.89634,0.66667,1,0.92823,0.000759035,0.000759035,0.000759035
34,4601.79,0.90897,0.6,1,1.11931,0.000748036,0.000748036,0.000748036
35,4735.82,0.88157,0.6,1,0.93351,0.000737037,0.000737037,0.000737037
36,4870.73,0.84797,0.65333,1,0.80129,0.000726038,0.000726038,0.000726038
37,5006.13,0.82279,0.60667,1,0.85172,0.00071504,0.00071504,0.00071504
38,5140.42,0.80602,0.60667,1,0.96562,0.000704041,0.000704041,0.000704041
39,5274.89,0.79634,0.58,1,0.9844,0.000693042,0.000693042,0.000693042
40,5408.94,0.83551,0.58667,1,0.91211,0.000682043,0.000682043,0.000682043
41,5543.52,0.80635,0.62,1,0.89576,0.000671044,0.000671044,0.000671044
42,5677.19,0.80995,0.62667,1,0.82797,0.000660045,0.000660045,0.000660045
43,5811.8,0.7165,0.66,1,0.76876,0.000649046,0.000649046,0.000649046
44,5945.47,0.73305,0.7,1,0.77358,0.000638047,0.000638047,0.000638047
45,6079.58,0.69846,0.6,1,0.95789,0.000627048,0.000627048,0.000627048
46,6213.71,0.65586,0.68667,1,0.76668,0.000616049,0.000616049,0.000616049
47,6347.89,0.68381,0.64,1,0.89065,0.000605051,0.000605051,0.000605051
48,6482.11,0.68009,0.59333,1,0.98483,0.000594052,0.000594052,0.000594052
49,6616.09,0.68754,0.64667,1,0.88452,0.000583053,0.000583053,0.000583053
50,6749.7,0.69777,0.64667,1,0.91707,0.000572054,0.000572054,0.000572054
51,6883.17,0.64446,0.64,1,0.94106,0.000561055,0.000561055,0.000561055
52,7017.59,0.60464,0.57333,1,1.0135,0.000550056,0.000550056,0.000550056
53,7151.7,0.71727,0.64,1,0.82173,0.000539057,0.000539057,0.000539057
54,7285.34,0.62942,0.62667,1,0.85122,0.000528058,0.000528058,0.000528058
55,7419.41,0.64682,0.63333,1,0.86345,0.000517059,0.000517059,0.000517059
56,7553.08,0.60988,0.62,1,0.96934,0.00050606,0.00050606,0.00050606
57,7687.18,0.62057,0.64,1,1.00993,0.000495062,0.000495062,0.000495062
58,7820.8,0.58905,0.62,1,0.85796,0.000484063,0.000484063,0.000484063
59,7955.13,0.60392,0.66667,1,0.911,0.000473064,0.000473064,0.000473064
60,8088.5,0.6131,0.66667,1,0.7916,0.000462065,0.000462065,0.000462065
61,8222.47,0.61557,0.66667,1,0.89189,0.000451066,0.000451066,0.000451066
62,8356.15,0.6126,0.66667,1,0.87862,0.000440067,0.000440067,0.000440067
63,8490.61,0.55157,0.62667,1,0.90078,0.000429068,0.000429068,0.000429068
64,8624.83,0.55148,0.64,1,0.88966,0.000418069,0.000418069,0.000418069
65,8761.03,0.51276,0.66,1,0.75398,0.00040707,0.00040707,0.00040707
66,8894.82,0.48907,0.64667,1,0.77012,0.000396071,0.000396071,0.000396071
67,9029.33,0.47923,0.67333,1,0.81881,0.000385073,0.000385073,0.000385073
68,9163.44,0.52532,0.7,1,0.80575,0.000374074,0.000374074,0.000374074
69,9297.52,0.49137,0.66667,1,0.82716,0.000363075,0.000363075,0.000363075
70,9431.8,0.52178,0.65333,1,0.92514,0.000352076,0.000352076,0.000352076
71,9564.46,0.51204,0.64,1,0.81772,0.000341077,0.000341077,0.000341077
72,9698,0.45462,0.67333,1,0.78621,0.000330078,0.000330078,0.000330078
73,9831.07,0.51038,0.67333,1,0.84037,0.000319079,0.000319079,0.000319079
74,9964.3,0.41273,0.65333,1,0.81915,0.00030808,0.00030808,0.00030808
75,10098.5,0.398,0.65333,1,0.7559,0.000297081,0.000297081,0.000297081
76,10231.6,0.41161,0.65333,1,0.77304,0.000286083,0.000286083,0.000286083
77,10364.7,0.48349,0.64667,1,0.90385,0.000275084,0.000275084,0.000275084
78,10497.6,0.44662,0.64667,1,0.88683,0.000264085,0.000264085,0.000264085
79,10630.7,0.38594,0.66,1,0.82503,0.000253086,0.000253086,0.000253086
80,10763.5,0.45356,0.7,1,0.77139,0.000242087,0.000242087,0.000242087
81,10896.4,0.37536,0.68,1,0.71922,0.000231088,0.000231088,0.000231088
