feat_000,feat_001,feat_002,feat_003,feat_004,feat_005,feat_006,feat_007,feat_008,feat_009,feat_010,feat_011,feat_012,feat_013,feat_014,feat_015,feat_016,feat_017,feat_018,feat_019,feat_020,feat_021,feat_022,feat_023,feat_024,feat_025,feat_026,feat_027,feat_028,feat_029,feat_030,feat_031,feat_032,feat_033,feat_034,feat_035,feat_036,feat_037,feat_038,feat_039,feat_040,feat_041,feat_042,feat_043,feat_044,feat_045,feat_046,feat_047,feat_048,feat_049,feat_050,feat_051,feat_052,feat_053,feat_054,feat_055,feat_056,feat_057,feat_058,feat_059,feat_060,feat_061,feat_062,feat_063,feat_064,feat_065,feat_066,feat_067,feat_068,feat_069,feat_070,feat_071,feat_072,feat_073,feat_074,feat_075,feat_076,feat_077,feat_078,feat_079,feat_080,feat_081,feat_082,feat_083,feat_084,feat_085,feat_086,feat_087,feat_088,feat_089,feat_090,feat_091,feat_092,feat_093,feat_094,feat_095,feat_096,feat_097,feat_098,feat_099,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127,feat_128,feat_129,feat_130,feat_131,feat_132,feat_133,feat_134,feat_135,feat_136,feat_137,feat_138,feat_139,feat_140,feat_141,feat_142,feat_143,feat_144,feat_145,feat_146,feat_147,feat_148,feat_149,feat_150,feat_151,feat_152,feat_153,feat_154,feat_155,feat_156,feat_157,feat_158,feat_159,feat_160,feat_161,feat_162,feat_163,feat_164,feat_165,feat_166,feat_167,feat_168,feat_169,feat_170,feat_171,feat_172,feat_173,feat_174,feat_175,feat_176,feat_177,feat_178,feat_179,feat_180,feat_181,feat_182,feat_183,feat_184,feat_185,feat_186,feat_187,feat_188,feat_189,feat_190,feat_191,feat_192,feat_193,feat_194,feat_195,feat_196,feat_197,feat_198,feat_199,label
0.8116408587,0.992202878,1.037501931,1.212444901,3.344583511,2.029728651,1.620233536,1.63352704,3.662272215,3.908020258,1.77959764,1.199698687,2.073220253,2.657837868,2.491675377,1.203562856,1.030742288,3.030769587,3.345235586,3.008488178,2.569882393,3.306187153,3.066908121,3.455353737,3.256145477,4.026575089,3.951618671,3.68149972,4.501339436,4.54200983,4.008087158,3.525084972,2.596554995,3.189666271,3.232973337,3.334375858,2.103995562,1.568770766,2.059359074,2.678528547,2.282151461,2.828559399,2.825735807,4.223971844,3.573966265,2.404107809,3.150994778,3.794293642,3.739096642,3.316133022,3.402356386,3.607976675,4.012733459,4.046611786,2.784327269,2.514251709,2.69628191,2.449519634,2.929414988,2.15162921,2.474230766,2.21105361,2.296457291,1.556237698,2.086894035,2.129474878,2.002770901,1.935190916,2.121561766,2.126923323,1.974388957,1.908025742,1.784870028,1.974450588,2.14469862,1.950744867,1.872566104,1.900519013,2.055532455,1.965031505,1.783266187,1.402929306,1.627398849,1.584485888,1.694624543,1.637824178,1.594353914,1.740024805,1.836316347,2.078941822,1.542813063,1.916605234,1.630920172,1.42638576,1.366585732,1.645253062,1.727386117,2.429830313,1.787927032,1.96235466,1.667994738,1.762773991,1.415169597,0.8418522477,0.9451574087,0.5950676799,1.116681933,1.758257031,1.309923768,1.292168379,0.9875118732,1.644328117,1.694190383,1.654622555,1.268291473,1.347095966,1.836973071,1.467458963,1.327072501,1.515546441,1.304935813,1.678457022,1.198774457,0.9808312654,1.212378263,1.055723548,1.376280546,0.784573257,0.5896074176,0.3640035689,0.6179338694,0.8358915448,0.8791985512,0.9277250767,1.007744789,1.287969589,1.309239984,1.003601789,1.080207109,1.086477518,0.9895245433,0.7309134603,0.8198770285,0.5959401131,0.6408728957,0.9347473979,0.5182765126,0.9661642909,0.6373838186,1.001456857,1.074259043,0.6139195561,0.6069355607,0.5324426293,0.6622089148,0.4303143024,0.3523882926,0.4497798085,0.1767758876,0.07130818814,0.1179316938,0.09552057832,0.04208299145,0.0511322096,0.06057874858,0.05140218884,0.06281273067,0.05967243016,0.04611769319,0.08477061242,0.0585620515,0.08788478374,0.05011433735,0.05470375344,0.04187360033,0.05044208467,0.03101472184,0.03363290802,0.05565706268,0.0287569575,0.02978493832,0.0315550901,0.04528890178,0.06418827921,0.04344410822,0.04587200657,0.02197387442,0.009666534141,0.0107499687,0.01245635003,0.0166440662,0.02279406972,0.01663737372,0.01547405683,0.02220047824,0.01747910678,0.01213509962,0.01121298876,0.012429717,0.007776142564,sakana
1.224428535,1.530626893,2.054265261,2.274825573,3.721784592,2.38262558,1.294067264,1.985157847,3.942279339,4.503195286,2.686411142,1.51461494,2.720159769,2.978012085,2.958199739,1.046765566,1.751887798,2.371337891,3.354764223,4.186444759,3.272980928,2.970245838,2.386898756,2.588519573,3.757874489,3.887779474,2.824151516,2.435422897,3.589891911,4.913072586,3.316310167,2.465454102,1.526412249,3.484228611,2.802598476,2.099186897,1.131787062,2.406033278,3.158106327,2.678812265,1.948004127,2.546916246,3.021908998,3.505787849,3.579486609,2.899426937,2.902573586,2.899097681,3.916346073,3.923508644,3.716086388,3.291169643,3.74807024,4.706568718,3.035836697,2.2596066,2.388989449,3.105817795,2.397392273,2.298482656,2.163548946,2.459550142,3.234276533,2.437021017,1.423035502,0.9151676893,1.395884871,2.091466904,1.922558427,0.8489247561,1.359102964,1.381884933,1.784670353,1.912814617,1.301292181,1.172326803,1.334028959,2.174371481,2.023369074,1.344070196,1.282556295,1.112341404,1.4109447,1.587502241,1.094762444,1.064148307,1.112528324,2.010084152,1.63734901,1.061128378,1.117376566,1.09474957,1.468067765,1.536523581,1.318831444,1.457757473,1.665213227,2.108505249,0.9620965719,0.9960778952,0.947650373,1.367563963,1.731181622,1.207180977,1.093500614,0.6106234789,0.6417220235,0.537832737,0.5211378932,0.3665875494,0.1594068706,0.3401551843,0.3540735245,0.2427108437,0.1274496019,0.2999351025,0.418734163,0.7070276737,0.4695123434,0.2828020453,0.4566938877,0.8934977055,0.8507939577,0.9728295803,0.824475646,1.021666765,1.482094884,1.216156006,0.9311905503,1.242480397,0.7415867448,0.915282011,0.7644271851,0.6947856545,0.6051508784,0.5428115726,0.4986685216,0.4857930243,0.5179404616,0.2541721165,0.2839954495,0.4019726813,0.3161925077,0.4496624172,0.3787982166,0.3062122166,0.4412966371,0.4582784772,0.3323967159,0.253316313,0.4740957022,0.2116299272,0.1698185503,0.1358209401,0.09161261469,0.131524682,0.1045525372,0.1151620373,0.1476862729,0.2664136887,0.1403066963,0.1316933036,0.1153268442,0.1515530646,0.12156903,0.1282741725,0.09353709221,0.1846616864,0.1116226166,0.2100585848,0.1793854088,0.2360557169,0.2693427801,0.1527048796,0.1550525129,0.2217703462,0.2120480537,0.1097646505,0.1797785908,0.2108596712,0.1913997382,0.1297830641,0.240046367,0.3472490609,0.401994884,0.2000583559,0.1646976322,0.1619390249,0.152616024,0.2077972144,0.2315786034,0.1376202703,0.07939833403,0.09845687449,0.06859948486,0.03472798318,0.01561705302,0.0219835788,0.01909886487,0.01929111592,sakana
0.7676787972,0.9877932072,1.268566728,0.6143094301,2.781526566,1.785231829,1.230998755,1.309316516,3.254782677,3.718689442,2.467288256,1.043051243,1.577238083,1.979284763,2.088583946,1.205797195,0.8458114862,2.291015387,2.30897975,3.128252029,2.356884003,2.928907394,2.715034246,2.254161835,3.095956802,4.207184315,3.329698324,2.485933065,3.347164392,4.736237526,3.973959446,2.905637741,1.736336946,3.111865282,3.011504412,2.78314662,1.953416944,1.84294641,3.258926868,2.710184574,2.544670582,2.699517012,2.984425545,2.861280918,3.481753111,3.100232363,3.854110003,3.351979494,3.165436745,3.925684929,3.887798309,4.231868267,3.819011211,4.388609886,3.786567926,3.199099541,2.642065048,2.295934439,1.898641109,2.688047171,2.290596724,2.357878447,2.588160753,2.113195658,1.838014126,1.476132751,1.433994055,1.326580882,1.651228786,1.397265673,1.288866401,1.533917904,1.675263524,1.808250189,1.830002785,1.594940424,1.779390454,1.822104216,2.06444025,1.983547568,1.76262939,1.45299387,1.425505757,1.584718347,1.600658536,1.182213426,1.117112756,1.499360323,1.543089509,1.774152279,1.214255095,1.222676396,0.9434788227,1.487905145,1.776141644,0.9480378032,0.8735947609,1.123250008,1.316653967,0.7857670784,0.631922245,0.9100421071,1.167551041,1.178005457,0.9181316495,1.135065675,1.240345478,1.019898891,1.612875104,1.099468946,0.7485418916,0.3863042295,0.5763117075,0.5647432804,0.4794557989,0.3450699449,0.5712998509,1.121335506,0.9677298069,0.6877355576,0.8228999376,0.6622334719,1.290079474,1.692245722,1.798335314,1.658460975,1.51311636,1.984792948,2.020557165,2.011117697,1.544062138,1.136906862,1.427655816,1.136896372,1.368871331,1.324535966,0.7789650559,0.7661324143,0.7563955188,0.3557602167,0.4120375216,0.3729899228,0.4268837273,0.9106282592,0.7300657034,0.825532496,0.751568675,0.6607124209,0.6912382841,0.61119771,0.5001628399,0.4090953767,0.4582411647,0.5819911361,0.1630470455,0.2486026585,0.1244798899,0.08856739104,0.2226860225,0.2893821597,0.1719686836,0.2080502063,0.1907119751,0.1283062547,0.07105191052,0.05343089253,0.05558187142,0.05953028426,0.06862191111,0.0693519488,0.138133958,0.1204417348,0.1043444648,0.08414575458,0.08934015036,0.1987640858,0.1156121865,0.1292832941,0.2111862004,0.1812644303,0.1756939292,0.2317563742,0.2820854783,0.2171401829,0.244151637,0.3561426103,0.334287852,0.1379425377,0.1329335421,0.1383529603,0.1364297867,0.09731701761,0.08081570268,0.05398507789,0.03812504932,0.03190625086,0.02497209609,0.02469479479,0.0295426622,0.03334387764,sakana
1.949596167,1.68746984,1.829838991,2.076542377,3.418294907,1.862340808,1.478828073,1.716355324,3.545099497,3.977269888,2.322387457,0.8833116293,2.105580568,2.648972273,2.597089291,1.246083975,1.211807847,2.027264118,2.382158518,2.920032263,2.429696083,1.916326165,1.973566175,2.380335808,2.921159029,3.507117987,2.56509614,2.580943823,3.536355734,4.213649273,3.622103214,3.059666634,2.688040495,2.904042244,2.353560925,2.650350332,1.823279023,2.199983597,2.761551142,2.573148489,2.594552517,2.778199911,2.653641701,2.867999077,3.335904598,3.234404802,3.660474777,3.203918934,3.434752226,3.775142908,4.103515148,4.123291969,4.069316864,4.109571934,3.395380259,3.120049715,2.59419179,2.226693869,2.125637293,2.311397314,2.610712767,2.381420612,2.278276682,1.690346837,1.734974146,1.588886142,1.712703466,1.483098388,1.293509722,1.215234399,1.740158439,1.664313555,1.735735416,1.487515092,1.701174378,1.987370014,2.09041667,2.072046995,1.762160897,2.070010185,2.067934036,1.783461332,1.301500916,1.132840514,1.341913223,1.255861521,1.057196975,0.8888171315,1.234307289,0.9114828706,0.7563380003,0.6186470389,0.6539898515,0.7634248137,0.5978944898,0.5834540129,0.8492923975,0.6625780463,0.3435180783,0.436091274,0.3348736465,0.9875355959,0.7664013505,0.623629868,0.7496363521,0.875665009,1.265537262,0.712770462,0.8785964847,1.06459868,0.6017827392,0.2845458388,0.3743764162,0.3377578557,0.3194800317,0.5641201138,0.5208867192,1.148977637,0.6494307518,0.9128326774,0.9299886823,1.115902066,1.421227455,1.408931494,2.09966445,2.19257617,2.157065392,1.886408329,1.691201448,2.236224651,1.521871448,1.493877649,1.386995316,0.5907332897,1.202448368,1.055121899,0.9239339232,0.7193664908,0.3314406276,0.2915798724,0.4201772809,0.4719350934,0.4870959222,0.5401073098,0.7182346582,0.7429001927,0.4894108772,0.5714368224,0.5134539008,0.3926867247,0.4499437213,0.1342852414,0.2002775371,0.284311831,0.08957754076,0.1017458066,0.07385331392,0.1016337052,0.0961234048,0.08410142362,0.1340374649,0.1484070271,0.07102385908,0.2186478078,0.07174648345,0.08128985763,0.07427810133,0.2475183457,0.1584919095,0.132513836,0.1684227288,0.3124616444,0.2431714684,0.216927588,0.1029856801,0.2149971426,0.1856686473,0.08649414033,0.1146075502,0.1527088434,0.1873244196,0.129149124,0.1464716792,0.1629052162,0.156329602,0.163103953,0.06276566535,0.08127824217,0.05733107775,0.0239677988,0.08330957592,0.05770181119,0.05506931618,0.03210258484,0.03752945364,0.04925336689,0.05135241523,0.02090490982,0.02010098286,0.01481729746,sakana
0.9175546169,1.089492798,1.139668822,1.867252827,3.026728392,1.614419699,1.203533649,1.430804253,3.683107138,3.555446148,1.554564714,1.578319073,2.225913286,2.544155836,2.089795351,0.9822450876,1.26791048,1.696804643,1.962942839,2.425156832,2.264961004,2.073575735,2.062400579,2.388324261,2.785554409,2.963207722,2.228047371,2.785845041,3.855723619,3.927311182,3.197639465,2.32623148,2.423550606,2.635453701,1.924022079,2.084412813,1.822059155,2.435777426,2.864729166,2.38541317,2.544041872,2.907166004,2.786377668,2.938034534,3.348665237,3.448329926,3.154181004,3.237205982,3.483537674,3.922127008,3.669161558,3.612275839,3.957152605,3.737458944,2.93128252,2.535129786,2.094954252,1.90646112,1.833039522,1.364754081,2.12812376,1.967683315,2.229882002,1.675821781,1.642261982,1.464573979,1.455801368,1.139302731,1.142707348,1.183153629,1.494333148,1.593797803,1.564490199,1.701294661,1.748792887,1.584240913,1.778398991,1.67379272,1.726421356,1.622230172,1.456765771,1.324388146,1.02466476,1.129290342,0.8228688836,0.9362137318,0.6947838068,0.7518556118,0.7053005695,0.8599098921,0.6789922714,0.7235348821,0.4290200174,0.6699043512,0.8463681936,0.8408739567,0.626024127,1.070042729,0.6648048759,0.7195507884,0.8725064397,0.9182153344,1.220036626,1.110615373,0.6980706453,1.146996617,0.896694541,0.8474425673,1.141673088,0.7567256093,0.4950083792,0.266272217,0.1972395033,0.5110997558,0.2810274661,0.4573903084,0.6055545211,0.8748122454,0.7713686228,0.5819167495,0.7558419704,1.015200853,1.038131475,1.478411436,1.617203116,1.587015033,1.712416887,1.525657296,1.665862441,1.458023429,0.8247766495,0.9118741751,0.5652990937,0.5899416804,0.5981024504,0.448038727,0.3261551559,0.3256994486,0.445345968,0.1663460881,0.1259219795,0.1107904837,0.1304238886,0.4094379842,0.2691555023,0.2560973167,0.3786534369,0.2573036849,0.3008620143,0.3031259477,0.07333681732,0.1415298879,0.1253219545,0.05893953145,0.05043398216,0.06425318122,0.07852485031,0.04074143246,0.01991553232,0.03685519844,0.04709805176,0.04510138184,0.03433107212,0.05209817737,0.0303013213,0.01546628028,0.01701674983,0.04747488722,0.06527450681,0.05060387775,0.05230697989,0.0521960035,0.0700635165,0.04641689733,0.06246965006,0.06859669834,0.07196696848,0.04385134578,0.05511782318,0.05435478315,0.1172510535,0.02686317451,0.06451007724,0.06682990491,0.09023479372,0.05487858877,0.01738603972,0.02412486821,0.03001411073,0.02445172146,0.02828772366,0.009172098711,0.00583073264,0.004631433636,0.004100864287,0.004952311516,0.006120320875,0.005675978959,0.004863169976,0.003797554644,sakana
1.168810725,1.135958433,1.392146587,1.792358994,3.288212538,1.661916494,1.171454549,1.850794077,3.894157887,3.904589653,2.266425133,1.528861284,2.657079697,3.101030111,2.500410557,1.390199184,1.467004061,2.36529851,2.828172445,2.848821402,2.796990156,2.067278385,2.32061553,2.460174799,2.946832418,3.1054883,1.957930326,2.394021511,3.746495485,3.885635853,3.164931297,1.996665716,2.04660368,2.701429129,1.69018209,2.030430794,1.541288495,2.347470284,2.778445005,2.369122505,2.31544137,2.659136534,2.653397322,2.593053579,2.903573751,2.944147587,3.044697046,3.12342906,3.225351334,3.604401827,3.901501179,3.682477951,4.023329735,3.762229443,3.186898232,2.826975107,2.711505651,2.965437412,2.338922739,2.032631397,2.215821505,2.524813414,2.280491352,1.816559553,1.678420663,1.64855361,1.706795216,1.450696111,1.312386751,1.214572668,1.876905322,1.793906093,1.662736177,1.678233743,1.853580594,1.854416013,1.886888742,1.950590968,1.862863302,1.831210852,1.557049751,1.391016126,1.247319341,1.356637597,1.44668293,0.9982859492,0.7897552848,1.030825734,1.015673161,1.304625988,0.7051063776,0.8376241326,0.7671169639,0.7771968842,1.196280003,1.084587932,0.7665025592,0.8710158467,0.6124523282,0.6919420362,1.017459393,1.018022418,1.366448402,1.492076278,1.064832091,1.622024417,1.062237382,1.302649975,1.593452454,0.9718566537,0.8593840599,0.3253757358,0.3638614714,0.7474696636,0.3877963722,0.6471216083,0.7629418969,1.216465831,1.079371095,0.7099788785,1.09442687,1.127592444,1.560295701,1.866074562,1.713717937,2.012584925,1.883134604,2.146184444,1.700142741,1.707739592,1.435266852,1.378003478,1.555244327,0.5935488343,1.084805489,0.8161680102,0.7351791859,0.8011187911,0.3112667799,0.2439405471,0.3893430829,0.4299888611,0.4653137922,0.5019641519,0.7010439038,0.5054975152,0.6795373559,0.8881898522,0.2843733132,0.6892456412,0.2256800383,0.1839787513,0.4577301741,0.2773057222,0.09604583681,0.09067059308,0.09012102336,0.07808487117,0.03587386385,0.09582930803,0.0353647992,0.06904151291,0.06397623569,0.1058992743,0.08948176354,0.06887189299,0.04133974016,0.138413325,0.06564756483,0.07634457946,0.09462538362,0.09757237881,0.1801360548,0.09690862149,0.1065558791,0.07712797076,0.06669031084,0.06403981149,0.0321498476,0.0210202951,0.04865594953,0.02101750113,0.04294180125,0.04820426553,0.0280956123,0.04829507694,0.03227279335,0.01534609497,0.02005623095,0.02067300491,0.0130614154,0.01106298622,0.009201227687,0.006311247591,0.004846739117,0.006342205219,0.002232133644,0.002804344287,0.003196632955,0.002087021945,sakana
0.7497600913,0.9623669982,1.564041972,1.862105131,3.025481462,1.079270005,1.169813633,1.562047005,3.600486279,3.462437868,1.405331969,1.40742743,2.173138618,2.620515823,2.103342056,0.7451295853,1.207981825,2.251868963,2.965571165,2.492105961,2.066437244,2.191720009,2.497172117,2.726064682,2.765213013,3.033551693,2.555802822,3.142999649,3.913034201,3.949245214,3.132418633,2.870443106,3.043009281,2.483555317,1.917682886,2.247774363,1.626243949,2.460176945,2.907816887,2.753360033,3.036401987,2.461022854,2.542142153,3.059876919,3.573312044,3.020720482,3.239520073,3.370707035,3.875314236,3.77833128,3.761459112,3.935682535,3.88297534,3.604265928,3.219907999,2.741961002,2.449568272,2.430298328,1.913756728,1.976993918,2.138144493,2.186342955,2.218697071,1.790112495,1.74037993,1.246265173,1.436039448,1.047232151,1.253565788,1.163913369,1.542916894,1.447686076,1.354888678,1.583246112,1.642528415,1.610717058,1.913710594,1.601808906,1.674782753,1.710803866,1.768031597,1.446683288,1.34041965,1.267196894,1.34697485,1.231169701,0.9682735205,1.134580612,1.028643489,0.7424749136,0.6573131084,0.8518109322,0.667647779,0.8689826131,0.6660139561,0.8853684664,0.8193506598,0.7124503851,0.4417912364,0.6597680449,0.385035336,1.194922686,0.6536596417,1.132522821,1.113579869,0.8720415235,1.532218814,0.7405690551,1.176998734,1.278487325,0.5371019244,0.3142146766,0.3050086498,0.4901627898,0.4567777216,0.4351522326,0.4056041837,1.162859201,0.8082565665,0.765271008,0.7828806043,0.8782140017,1.442114353,1.430775762,1.809710264,1.644599676,1.65427947,1.859802008,1.702982664,1.852456093,1.023865223,1.216269851,1.293018579,0.817895472,0.6590126157,0.4877447486,0.4991805553,0.5495355725,0.5805051923,0.3101254404,0.2849209607,0.5212326646,0.4042754769,0.7223175764,0.2729982138,0.5206264853,0.522347331,0.4378966093,0.7060725093,0.4205597341,0.3020379841,0.1757426709,0.1568955481,0.1709130257,0.09245815128,0.08563111722,0.07486296445,0.04306513071,0.04862579703,0.07866923511,0.09266614914,0.07825576514,0.06824471056,0.07328355312,0.06188733131,0.05869144201,0.0646032989,0.1127381846,0.08909517527,0.05483495444,0.07406205684,0.07628758252,0.1689426601,0.1941937357,0.101223059,0.1959276199,0.09609120339,0.06604518741,0.08480890095,0.0573236458,0.05668811128,0.03016163036,0.04121849686,0.03542087227,0.03115608916,0.01874168031,0.02117813751,0.01366579998,0.0177991651,0.008907787502,0.01107329689,0.00911512319,0.01122089755,0.01080906484,0.01087451074,0.007952953689,0.007798374165,0.005852961447,0.004404725973,0.004462704528,sakana
1.099533677,1.096622109,1.744048595,2.358496428,3.538994312,1.832828641,1.484493256,2.37577796,3.911996841,3.832396984,2.107749224,1.919869423,2.628877878,2.893220663,2.581363916,1.350385189,1.40478003,2.477588654,2.993920565,2.766411543,2.339884996,2.290699482,2.459832668,3.02658534,2.699859858,2.675130606,2.172423601,3.639793634,3.829975843,3.8664186,2.852801561,3.511428118,2.25619936,2.262865543,1.888528824,2.603379488,1.648548007,2.462654591,2.971573114,2.628825903,2.416283846,2.669111729,2.567492247,3.305866957,3.139083624,2.779453039,3.088029146,3.220930338,3.415277481,3.409780025,3.751269341,3.788665056,3.616671324,3.536436319,3.020935297,2.669043303,2.444225073,2.643975735,2.231191874,2.186609983,2.241725445,1.998823285,2.081700087,1.860457659,1.760810137,1.514444828,1.575385928,1.430580378,1.321956992,1.220129848,1.451800108,1.554588199,1.528935909,1.6874336,1.708111644,1.580221176,1.879158497,1.95215404,1.649815202,1.491972923,1.449242711,1.187151432,1.357501149,1.366243005,1.026830077,0.983273983,0.7680743337,1.08939445,1.039508104,0.8101574183,0.5269690752,0.73915416,0.6270806193,0.8044296503,0.9194645286,1.11103344,1.040358424,0.8752604127,0.532161653,0.8020913601,0.6104621887,1.507417321,1.1025846,1.133996367,1.273442626,1.428766847,1.623878956,1.152049065,1.161809206,1.257018328,0.7508904338,0.2950676382,0.4157522619,0.7097291946,0.4142088592,0.7311378121,0.3396659493,1.353583694,0.7415364385,0.617823422,1.247680902,0.8039736152,1.341129184,1.551610947,1.590027928,1.812423944,1.552128553,1.497409582,1.651283026,1.437106967,1.155699492,1.113307476,0.7989968657,0.6602505445,0.6422274709,0.6765408516,0.5954355001,0.3177243173,0.5183898807,0.2574491799,0.3427084982,0.4648583829,0.3751070797,0.5282607079,0.4572985768,0.6308588386,0.4434054196,0.5605489016,0.366607517,0.5250636339,0.5053053498,0.281617105,0.3182679117,0.4048480392,0.2230773419,0.3545376956,0.1860996187,0.13246952,0.101390779,0.1713602096,0.2097763717,0.1611245126,0.0679275468,0.08770116419,0.07343893498,0.07970460504,0.08229938149,0.08895847946,0.1132047474,0.04799645767,0.07036450505,0.1031387001,0.1152233109,0.09843926877,0.06820082664,0.0797072798,0.07018367201,0.04681027681,0.04021646082,0.07344188541,0.08881060779,0.04947302863,0.04697265849,0.06475753337,0.08259806782,0.04022284225,0.01855910569,0.01673588157,0.01221194956,0.0203765519,0.01132074092,0.01342812739,0.009818231687,0.01153547969,0.006121001206,0.004297435284,0.003532119328,0.00411999831,0.00641075382,0.002460178919,sakana
1.477066875,1.718134761,2.383697987,2.446798086,3.723982334,1.952124476,0.859949708,2.873439312,4.066454411,3.92653203,2.065001965,2.579296112,3.047283173,3.233081818,2.435564041,1.297376633,1.564091086,2.622688055,3.491654158,2.972358704,2.50347805,2.392812729,2.948458672,3.209016085,2.652306318,3.299364328,2.920212746,3.568628788,4.038770676,4.061378002,3.807790756,3.383252144,2.181058645,2.492442608,2.4763937,2.354187965,2.064801931,2.719975233,3.375725985,2.682560444,2.712896824,2.954067945,3.050727367,3.017464399,3.083195448,3.144052744,3.620044708,3.210602999,3.445832014,3.605146885,4.050284386,3.935998917,3.606596231,3.696385622,2.968349695,2.862353325,2.636786222,2.695052147,2.226891756,2.256512403,2.450213432,2.264059544,2.0973804,1.691191554,1.795001864,1.915052295,1.998646736,1.48506999,1.546764612,1.371662021,1.614518046,1.694282889,1.381597519,1.904058099,1.883693457,1.62025702,2.054428577,1.548966885,1.527446389,1.566667676,0.9612846971,1.226433992,0.9292993546,0.874592483,0.9512779713,0.6781720519,0.8572106361,0.9382295609,0.8906722665,0.7969824076,0.5661720634,0.7196193933,0.9303581715,1.041013956,0.8865424395,1.195798993,0.9524026513,1.096886516,0.49817729,0.9546412826,1.00846684,1.553648949,1.079780102,1.594730139,1.431964517,1.469575882,1.915580869,1.141391397,1.993518353,1.15675807,0.7372231483,0.4157145619,0.2312342227,0.7884737253,0.4294286966,0.46275267,0.5203208923,0.7834358215,1.044633746,0.3630848229,0.9102330804,0.844412148,0.9108532667,1.84517312,0.8486378789,1.966694832,1.637715459,1.503534317,1.961378813,1.426553726,1.424223304,1.288426995,1.076933503,0.8799839616,0.840031147,1.09793973,0.6000385284,0.6921727061,0.5983079672,0.2686779797,0.6265308857,0.4576851726,0.5369304419,0.7494863272,0.4776572883,0.6356301308,0.5575774312,0.6737132668,0.4632994235,0.6809369922,0.4433618486,0.3479700685,0.3765387237,0.3651812673,0.1086652577,0.172012046,0.07635463029,0.0464726761,0.05366226286,0.1414204389,0.05290737748,0.04374911636,0.06193885207,0.08863413334,0.01495198533,0.02075161226,0.02600296773,0.05437297374,0.05472774804,0.02429613844,0.04995387048,0.06834948808,0.04359543696,0.04255573824,0.02340710163,0.0316670537,0.02420091443,0.01667858846,0.02077995613,0.02052882314,0.02469997853,0.01228212472,0.0123048313,0.03903874755,0.03027559444,0.04066164047,0.02597760782,0.02603124827,0.0200812947,0.007654320914,0.01768075861,0.008695353754,0.008949925192,0.005114662461,0.007256972138,0.006245629396,0.006311631761,0.006062367,0.006319819018,0.005268827081,sakana
1.531196117,1.470861912,1.747871757,2.316694498,3.55834794,1.676576734,1.529566526,2.999625921,3.899556637,3.916166306,1.876764774,2.173044443,2.531601429,3.100449562,2.416811466,1.288096666,0.8976099491,2.663951874,3.440576792,2.730587482,1.890173316,2.589322329,3.052186251,3.023988724,2.608696461,2.502198696,3.499955177,3.358636856,4.196702003,4.323217869,3.544049978,2.060636282,1.731337547,2.856966972,2.602300882,1.634608865,1.280659556,2.810919523,3.359797239,2.81316638,2.072538614,2.745302439,2.962804794,3.349318027,3.506435156,2.805862427,3.005710602,3.344439983,3.708210468,3.748963356,3.771726847,3.909418106,4.062713623,3.994683504,3.297370672,3.224531889,3.306931496,2.938397169,2.272428513,2.244829893,2.57438755,2.678764582,2.772381306,2.113488197,1.82285893,1.248769522,1.696718574,1.652515054,1.3305825,1.258357763,1.803295135,1.896268964,1.887849212,1.538184047,1.593621016,1.679858685,1.923607588,1.942386508,1.556889772,1.695399284,1.720381618,1.490891814,1.301035047,1.103906751,0.9738218784,0.9489888549,0.8799373507,1.028365135,0.9671308398,1.023555875,1.062170148,1.088575959,0.5354517102,1.062360048,1.381725192,0.9946681261,0.7221875787,1.168558836,0.5911129117,0.5184442401,0.8289744258,1.031456828,0.8377900124,1.047923565,0.7334950566,1.198601246,1.237645745,0.604894042,0.840361774,0.8558741212,0.4573138058,0.3003903031,0.2117087841,0.2921194136,0.1588080674,0.2931039333,0.5547558069,0.6644601226,0.2627357841,0.3604006171,0.6390934587,0.8238135576,0.7915385962,1.174382925,1.357163548,1.468581676,1.528671026,1.270905614,1.385229945,1.709518909,1.065367341,1.065863132,1.033781409,0.7633995414,1.029311657,0.7227156162,0.5087633729,0.5152713656,0.5012527108,0.3610498011,0.2720713019,0.3063544631,0.3066003919,0.3912413418,0.2971621156,0.2554252744,0.2277787775,0.3532717824,0.3326778412,0.4254507124,0.1841396242,0.3612939119,0.3707918525,0.2448558956,0.1480935663,0.1892867535,0.08337289095,0.09816849232,0.09358015656,0.1081805229,0.05180558935,0.1484598368,0.08071006835,0.0603316091,0.03393407166,0.03703267127,0.06371116638,0.0812831521,0.08403925598,0.06114994362,0.09572978318,0.09921623766,0.05898535624,0.0392478928,0.03391713277,0.05419664085,0.02000804618,0.02848645672,0.03892591223,0.0224862881,0.05629707128,0.03618571535,0.03684523702,0.08298267424,0.08623531461,0.05420590937,0.0472073257,0.03757837042,0.04698788747,0.02633428201,0.02751331776,0.02877899259,0.01314505003,0.01257027034,0.007762580644,0.004548736848,0.004431004636,0.003503368236,0.002647275804,0.001970140263,sakana
