epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,152.474,1.62602,0.27232,1,1.5861,0.00029997,0.00029997,0.00029997
2,316.309,1.58391,0.26786,1,1.55322,0.000605001,0.000605001,0.000605001
3,460.774,1.59004,0.33036,1,1.5284,0.000903872,0.000903872,0.000903872
4,609.607,1.56793,0.27679,1,1.82976,0.001078,0.001078,0.001078
5,759.663,1.54004,0.28571,1,1.69114,0.001067,0.001067,0.001067
6,907.728,1.45914,0.28125,1,1.73187,0.00105601,0.00105601,0.00105601
7,1056.19,1.38904,0.27679,1,2.36937,0.00104501,0.00104501,0.00104501
8,1204,1.45614,0.38839,1,1.70352,0.00103401,0.00103401,0.00103401
9,1353.49,1.27685,0.58929,1,1.09493,0.00102301,0.00102301,0.00102301
10,1501.83,1.31082,0.49554,1,1.29855,0.00101201,0.00101201,0.00101201
11,1649.75,1.19967,0.46429,1,1.39818,0.00100101,0.00100101,0.00100101
12,1798.34,1.15624,0.70536,1,0.79776,0.000990012,0.000990012,0.000990012
13,1947.14,1.15621,0.65179,1,0.87531,0.000979013,0.000979013,0.000979013
14,2095.55,1.07802,0.62054,1,1.51353,0.000968014,0.000968014,0.000968014
15,2244.45,1.02002,0.74107,1,0.73222,0.000957015,0.000957015,0.000957015
16,2392.39,0.99665,0.77679,1,0.66208,0.000946016,0.000946016,0.000946016
17,2541.55,0.94374,0.61161,1,0.98265,0.000935018,0.000935018,0.000935018
18,2690.07,0.91975,0.6875,1,0.95526,0.000924019,0.000924019,0.000924019
19,2838.36,0.95871,0.70536,1,0.73654,0.00091302,0.00091302,0.00091302
20,2986.59,0.96756,0.73661,1,0.63962,0.000902021,0.000902021,0.000902021
21,3137.58,0.86191,0.76786,1,0.61342,0.000891022,0.000891022,0.000891022
22,3286.7,0.76431,0.82143,1,0.55497,0.000880023,0.000880023,0.000880023
23,3435.89,0.8647,0.77232,1,0.53664,0.000869024,0.000869024,0.000869024
24,3584.4,0.76347,0.78125,1,0.58961,0.000858025,0.000858025,0.000858025
25,3734.77,0.79897,0.84821,1,0.41892,0.000847026,0.000847026,0.000847026
26,3883.63,0.71634,0.87946,1,0.4178,0.000836027,0.000836027,0.000836027
27,4031.94,0.69366,0.90179,1,0.30049,0.000825029,0.000825029,0.000825029
28,4180.26,0.69691,0.86607,1,0.37578,0.00081403,0.00081403,0.00081403
29,4330.45,0.72918,0.80804,1,0.50416,0.000803031,0.000803031,0.000803031
30,4479.38,0.6889,0.89732,1,0.29388,0.000792032,0.000792032,0.000792032
31,4627.81,0.67246,0.79018,1,0.59199,0.000781033,0.000781033,0.000781033
32,4776.93,0.75002,0.84375,1,0.45041,0.000770034,0.000770034,0.000770034
33,4926.13,0.65062,0.87946,1,0.35194,0.000759035,0.000759035,0.000759035
34,5074.95,0.61626,0.86607,1,0.3516,0.000748036,0.000748036,0.000748036
35,5223.1,0.57775,0.81696,1,0.51408,0.000737037,0.000737037,0.000737037
36,5371.46,0.62717,0.875,1,0.32887,0.000726038,0.000726038,0.000726038
37,5520.49,0.60667,0.86607,1,0.31235,0.00071504,0.00071504,0.00071504
38,5669.63,0.65801,0.84821,1,0.31435,0.000704041,0.000704041,0.000704041
39,5818.28,0.56053,0.875,1,0.32814,0.000693042,0.000693042,0.000693042
40,5966.28,0.63466,0.87946,1,0.35682,0.000682043,0.000682043,0.000682043
