true_label,transcript_norm,count,is_correct
sakana,さかな,100,1
shakana,しゃかな,86,1
shakana,しゃかーな,8,0
shakana,しゃっぱーな,2,0
shakana,さかな,2,0
shakana,しゃかま,2,0
thakana,さかな,58,0
thakana,そかな,18,0
thakana,そうかな,16,0
thakana,わからない,2,0
thakana,ありがとうございました,2,0
thakana,そのかま,2,0
thakana,すまかーな,2,0
thakana,すのーかーな,2,0
tyakana,ちゃかな,76,1
tyakana,ちょかな,8,0
tyakana,じゃかな,4,0
tyakana,ちゃったーな,2,0
tyakana,ちゃかーな,2,0
tyakana,ちゃぱーな,2,0
tyakana,ちょかーな,2,0
tyakana,きゃかな,2,0
tyakana,ちゃかんな,2,0
takana,たかな,90,1
takana,さかな,4,0
takana,かたな,2,0
takana,かっぱーな,2,0
takana,かかな,2,0
