# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times/shakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 23
segment_1: start_time=0.373333s, end_time=0.858667s, duration=0.485333s
segment_2: start_time=0.885333s, end_time=1.248000s, duration=0.362667s
segment_3: start_time=1.413333s, end_time=1.552000s, duration=0.138667s
segment_4: start_time=1.568000s, end_time=1.584000s, duration=0.016000s
segment_5: start_time=1.610667s, end_time=1.968000s, duration=0.357333s
segment_6: start_time=1.989333s, end_time=2.352000s, duration=0.362667s
segment_7: start_time=2.880000s, end_time=3.114667s, duration=0.234667s
segment_8: start_time=3.146667s, end_time=3.520000s, duration=0.373333s
segment_9: start_time=4.112000s, end_time=4.346667s, duration=0.234667s
segment_10: start_time=4.378667s, end_time=4.741333s, duration=0.362667s
segment_11: start_time=5.312000s, end_time=5.541333s, duration=0.229333s
segment_12: start_time=5.589333s, end_time=5.930667s, duration=0.341333s
segment_13: start_time=6.549333s, end_time=6.746667s, duration=0.197333s
segment_14: start_time=6.789333s, end_time=7.141333s, duration=0.352000s
segment_15: start_time=7.754667s, end_time=7.952000s, duration=0.197333s
segment_16: start_time=7.994667s, end_time=8.378667s, duration=0.384000s
segment_17: start_time=9.002667s, end_time=9.184000s, duration=0.181333s
segment_18: start_time=9.232000s, end_time=9.616000s, duration=0.384000s
segment_19: start_time=10.240000s, end_time=10.464000s, duration=0.224000s
segment_20: start_time=10.506667s, end_time=10.869333s, duration=0.362667s
segment_21: start_time=11.498667s, end_time=11.706667s, duration=0.208000s
segment_22: start_time=11.765333s, end_time=12.106667s, duration=0.341333s
segment_23: start_time=12.496000s, end_time=13.152000s, duration=0.656000s
mean_duration = 0.303768s
