# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times/thakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 23
segment_1: start_time=0.389333s, end_time=1.328000s, duration=0.938667s
segment_2: start_time=1.440000s, end_time=1.456000s, duration=0.016000s
segment_3: start_time=1.680000s, end_time=2.170667s, duration=0.490667s
segment_4: start_time=2.192000s, end_time=2.576000s, duration=0.384000s
segment_5: start_time=3.120000s, end_time=3.456000s, duration=0.336000s
segment_6: start_time=3.488000s, end_time=3.840000s, duration=0.352000s
segment_7: start_time=4.405333s, end_time=4.917333s, duration=0.512000s
segment_8: start_time=4.922667s, end_time=5.088000s, duration=0.165333s
segment_9: start_time=5.712000s, end_time=6.000000s, duration=0.288000s
segment_10: start_time=6.021333s, end_time=6.218667s, duration=0.197333s
segment_11: start_time=6.224000s, end_time=6.378667s, duration=0.154667s
segment_12: start_time=6.954667s, end_time=7.237333s, duration=0.282667s
segment_13: start_time=7.285333s, end_time=7.653333s, duration=0.368000s
segment_14: start_time=8.256000s, end_time=8.490667s, duration=0.234667s
segment_15: start_time=8.533333s, end_time=8.917333s, duration=0.384000s
segment_16: start_time=9.482667s, end_time=9.786667s, duration=0.304000s
segment_17: start_time=9.813333s, end_time=10.042667s, duration=0.229333s
segment_18: start_time=10.058667s, end_time=10.218667s, duration=0.160000s
segment_19: start_time=10.810667s, end_time=11.104000s, duration=0.293333s
segment_20: start_time=11.136000s, end_time=11.520000s, duration=0.384000s
segment_21: start_time=12.133333s, end_time=12.453333s, duration=0.320000s
segment_22: start_time=12.485333s, end_time=12.901333s, duration=0.416000s
segment_23: start_time=13.066667s, end_time=14.432000s, duration=1.365333s
mean_duration = 0.372870s
