# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: thakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 18
segment_1: start_time=0.384000s, end_time=2.026667s, duration=1.642667s
segment_2: start_time=2.842667s, end_time=3.125333s, duration=0.282667s
segment_3: start_time=3.146667s, end_time=3.493333s, duration=0.346667s
segment_4: start_time=4.378667s, end_time=4.634667s, duration=0.256000s
segment_5: start_time=4.650667s, end_time=5.008000s, duration=0.357333s
segment_6: start_time=5.973333s, end_time=6.229333s, duration=0.256000s
segment_7: start_time=6.245333s, end_time=6.592000s, duration=0.346667s
segment_8: start_time=7.536000s, end_time=8.154667s, duration=0.618667s
segment_9: start_time=9.050667s, end_time=9.541333s, duration=0.490667s
segment_10: start_time=9.578667s, end_time=9.680000s, duration=0.101333s
segment_11: start_time=10.613333s, end_time=10.928000s, duration=0.314667s
segment_12: start_time=10.933333s, end_time=11.274667s, duration=0.341333s
segment_13: start_time=12.154667s, end_time=12.442667s, duration=0.288000s
segment_14: start_time=12.474667s, end_time=12.832000s, duration=0.357333s
segment_15: start_time=13.680000s, end_time=14.362667s, duration=0.682667s
segment_16: start_time=15.162667s, end_time=15.877333s, duration=0.714667s
segment_17: start_time=16.170667s, end_time=16.266667s, duration=0.096000s
segment_18: start_time=16.272000s, end_time=17.034667s, duration=0.762667s
mean_duration = 0.458667s
