# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: sakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.384000s, end_time=1.818667s, duration=1.434667s
segment_2: start_time=2.752000s, end_time=3.344000s, duration=0.592000s
segment_3: start_time=4.394667s, end_time=4.576000s, duration=0.181333s
segment_4: start_time=4.602667s, end_time=4.917333s, duration=0.314667s
segment_5: start_time=5.984000s, end_time=6.517333s, duration=0.533333s
segment_6: start_time=7.605333s, end_time=7.738667s, duration=0.133333s
segment_7: start_time=7.797333s, end_time=8.112000s, duration=0.314667s
segment_8: start_time=9.114667s, end_time=9.274667s, duration=0.160000s
segment_9: start_time=9.296000s, end_time=9.637333s, duration=0.341333s
segment_10: start_time=10.650667s, end_time=10.826667s, duration=0.176000s
segment_11: start_time=10.864000s, end_time=11.200000s, duration=0.336000s
segment_12: start_time=12.165333s, end_time=12.330667s, duration=0.165333s
segment_13: start_time=12.352000s, end_time=12.704000s, duration=0.352000s
segment_14: start_time=13.397333s, end_time=13.477333s, duration=0.080000s
segment_15: start_time=13.653333s, end_time=13.845333s, duration=0.192000s
segment_16: start_time=13.850667s, end_time=14.202667s, duration=0.352000s
segment_17: start_time=14.757333s, end_time=14.784000s, duration=0.026667s
segment_18: start_time=15.040000s, end_time=15.050667s, duration=0.010667s
segment_19: start_time=15.114667s, end_time=15.349333s, duration=0.234667s
segment_20: start_time=15.370667s, end_time=15.717333s, duration=0.346667s
segment_21: start_time=16.117333s, end_time=16.138667s, duration=0.021333s
segment_22: start_time=16.176000s, end_time=16.981333s, duration=0.805333s
mean_duration = 0.322909s
