# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: thakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.389333s, end_time=1.909333s, duration=1.520000s
segment_2: start_time=2.816000s, end_time=3.146667s, duration=0.330667s
segment_3: start_time=3.173333s, end_time=3.525333s, duration=0.352000s
segment_4: start_time=4.426667s, end_time=4.730667s, duration=0.304000s
segment_5: start_time=4.757333s, end_time=5.120000s, duration=0.362667s
segment_6: start_time=5.909333s, end_time=5.930667s, duration=0.021333s
segment_7: start_time=6.026667s, end_time=6.325333s, duration=0.298667s
segment_8: start_time=6.384000s, end_time=6.730667s, duration=0.346667s
segment_9: start_time=7.584000s, end_time=7.882667s, duration=0.298667s
segment_10: start_time=7.909333s, end_time=8.261333s, duration=0.352000s
segment_11: start_time=9.077333s, end_time=9.392000s, duration=0.314667s
segment_12: start_time=9.429333s, end_time=9.770667s, duration=0.341333s
segment_13: start_time=10.570667s, end_time=10.885333s, duration=0.314667s
segment_14: start_time=10.922667s, end_time=11.290667s, duration=0.368000s
segment_15: start_time=12.080000s, end_time=12.378667s, duration=0.298667s
segment_16: start_time=12.437333s, end_time=12.794667s, duration=0.357333s
segment_17: start_time=13.493333s, end_time=13.536000s, duration=0.042667s
segment_18: start_time=13.546667s, end_time=13.984000s, duration=0.437333s
segment_19: start_time=13.994667s, end_time=14.384000s, duration=0.389333s
segment_20: start_time=15.018667s, end_time=15.029333s, duration=0.010667s
segment_21: start_time=15.050667s, end_time=15.941333s, duration=0.890667s
segment_22: start_time=16.277333s, end_time=17.050667s, duration=0.773333s
mean_duration = 0.396606s
