# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: tyakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 19
segment_1: start_time=0.362667s, end_time=2.026667s, duration=1.664000s
segment_2: start_time=2.805333s, end_time=2.986667s, duration=0.181333s
segment_3: start_time=3.040000s, end_time=3.392000s, duration=0.352000s
segment_4: start_time=4.341333s, end_time=4.522667s, duration=0.181333s
segment_5: start_time=4.538667s, end_time=4.928000s, duration=0.389333s
segment_6: start_time=5.877333s, end_time=6.053333s, duration=0.176000s
segment_7: start_time=6.101333s, end_time=6.453333s, duration=0.352000s
segment_8: start_time=7.434667s, end_time=7.610667s, duration=0.176000s
segment_9: start_time=7.669333s, end_time=8.032000s, duration=0.362667s
segment_10: start_time=8.944000s, end_time=9.130667s, duration=0.186667s
segment_11: start_time=9.162667s, end_time=9.504000s, duration=0.341333s
segment_12: start_time=10.517333s, end_time=11.082667s, duration=0.565333s
segment_13: start_time=12.048000s, end_time=12.224000s, duration=0.176000s
segment_14: start_time=12.256000s, end_time=12.666667s, duration=0.410667s
segment_15: start_time=13.669333s, end_time=14.277333s, duration=0.608000s
segment_16: start_time=15.050667s, end_time=15.829333s, duration=0.778667s
segment_17: start_time=16.213333s, end_time=16.224000s, duration=0.010667s
segment_18: start_time=16.240000s, end_time=16.250667s, duration=0.010667s
segment_19: start_time=16.277333s, end_time=17.050667s, duration=0.773333s
mean_duration = 0.405053s
