# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/sakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.378667s, end_time=1.866667s, duration=1.488000s
segment_2: start_time=2.618667s, end_time=3.264000s, duration=0.645333s
segment_3: start_time=3.717333s, end_time=3.770667s, duration=0.053333s
segment_4: start_time=4.090667s, end_time=4.698667s, duration=0.608000s
segment_5: start_time=5.749333s, end_time=5.946667s, duration=0.197333s
segment_6: start_time=5.957333s, end_time=6.309333s, duration=0.352000s
segment_7: start_time=7.413333s, end_time=7.584000s, duration=0.170667s
segment_8: start_time=7.621333s, end_time=7.973333s, duration=0.352000s
segment_9: start_time=8.874667s, end_time=8.922667s, duration=0.048000s
segment_10: start_time=8.976000s, end_time=9.168000s, duration=0.192000s
segment_11: start_time=9.189333s, end_time=9.530667s, duration=0.341333s
segment_12: start_time=10.549333s, end_time=10.688000s, duration=0.138667s
segment_13: start_time=10.725333s, end_time=11.077333s, duration=0.352000s
segment_14: start_time=12.106667s, end_time=12.293333s, duration=0.186667s
segment_15: start_time=12.304000s, end_time=12.666667s, duration=0.362667s
segment_16: start_time=13.408000s, end_time=13.424000s, duration=0.016000s
segment_17: start_time=13.573333s, end_time=13.594667s, duration=0.021333s
segment_18: start_time=13.685333s, end_time=13.909333s, duration=0.224000s
segment_19: start_time=13.914667s, end_time=14.277333s, duration=0.362667s
segment_20: start_time=15.077333s, end_time=15.136000s, duration=0.058667s
segment_21: start_time=15.146667s, end_time=15.792000s, duration=0.645333s
segment_22: start_time=16.106667s, end_time=16.912000s, duration=0.805333s
mean_duration = 0.346424s
