# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/shakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 20
segment_1: start_time=0.405333s, end_time=1.957333s, duration=1.552000s
segment_2: start_time=2.336000s, end_time=2.378667s, duration=0.042667s
segment_3: start_time=2.704000s, end_time=2.725333s, duration=0.021333s
segment_4: start_time=2.810667s, end_time=3.434667s, duration=0.624000s
segment_5: start_time=4.341333s, end_time=4.896000s, duration=0.554667s
segment_6: start_time=5.930667s, end_time=6.106667s, duration=0.176000s
segment_7: start_time=6.144000s, end_time=6.485333s, duration=0.341333s
segment_8: start_time=7.168000s, end_time=7.216000s, duration=0.048000s
segment_9: start_time=7.482667s, end_time=7.685333s, duration=0.202667s
segment_10: start_time=7.712000s, end_time=8.058667s, duration=0.346667s
segment_11: start_time=9.045333s, end_time=9.237333s, duration=0.192000s
segment_12: start_time=9.242667s, end_time=9.600000s, duration=0.357333s
segment_13: start_time=10.576000s, end_time=11.162667s, duration=0.586667s
segment_14: start_time=12.154667s, end_time=12.762667s, duration=0.608000s
segment_15: start_time=13.552000s, end_time=13.594667s, duration=0.042667s
segment_16: start_time=13.733333s, end_time=14.336000s, duration=0.602667s
segment_17: start_time=15.034667s, end_time=15.066667s, duration=0.032000s
segment_18: start_time=15.077333s, end_time=15.904000s, duration=0.826667s
segment_19: start_time=16.144000s, end_time=16.154667s, duration=0.010667s
segment_20: start_time=16.245333s, end_time=17.072000s, duration=0.826667s
mean_duration = 0.399733s
