# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/tyakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 23
segment_1: start_time=0.384000s, end_time=1.952000s, duration=1.568000s
segment_2: start_time=2.880000s, end_time=3.434667s, duration=0.554667s
segment_3: start_time=4.410667s, end_time=4.949333s, duration=0.538667s
segment_4: start_time=5.920000s, end_time=6.458667s, duration=0.538667s
segment_5: start_time=7.472000s, end_time=7.632000s, duration=0.160000s
segment_6: start_time=7.653333s, end_time=8.021333s, duration=0.368000s
segment_7: start_time=9.013333s, end_time=9.162667s, duration=0.149333s
segment_8: start_time=9.184000s, end_time=9.584000s, duration=0.400000s
segment_9: start_time=10.181333s, end_time=10.218667s, duration=0.037333s
segment_10: start_time=10.576000s, end_time=10.730667s, duration=0.154667s
segment_11: start_time=10.757333s, end_time=11.130667s, duration=0.373333s
segment_12: start_time=12.149333s, end_time=12.304000s, duration=0.154667s
segment_13: start_time=12.320000s, end_time=12.736000s, duration=0.416000s
segment_14: start_time=13.477333s, end_time=13.493333s, duration=0.016000s
segment_15: start_time=13.546667s, end_time=13.557333s, duration=0.010667s
segment_16: start_time=13.573333s, end_time=13.594667s, duration=0.021333s
segment_17: start_time=13.680000s, end_time=13.893333s, duration=0.213333s
segment_18: start_time=13.909333s, end_time=14.282667s, duration=0.373333s
segment_19: start_time=14.805333s, end_time=14.848000s, duration=0.042667s
segment_20: start_time=15.002667s, end_time=15.066667s, duration=0.064000s
segment_21: start_time=15.077333s, end_time=15.098667s, duration=0.021333s
segment_22: start_time=15.109333s, end_time=15.866667s, duration=0.757333s
segment_23: start_time=16.154667s, end_time=16.965333s, duration=0.810667s
mean_duration = 0.336696s
