# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/sakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 20
segment_1: start_time=1.322667s, end_time=1.466667s, duration=0.144000s
segment_2: start_time=1.504000s, end_time=1.850667s, duration=0.346667s
segment_3: start_time=2.688000s, end_time=2.858667s, duration=0.170667s
segment_4: start_time=2.890667s, end_time=3.248000s, duration=0.357333s
segment_5: start_time=4.117333s, end_time=4.325333s, duration=0.208000s
segment_6: start_time=4.352000s, end_time=4.693333s, duration=0.341333s
segment_7: start_time=5.781333s, end_time=5.930667s, duration=0.149333s
segment_8: start_time=5.968000s, end_time=6.304000s, duration=0.336000s
segment_9: start_time=7.434667s, end_time=7.578667s, duration=0.144000s
segment_10: start_time=7.621333s, end_time=7.968000s, duration=0.346667s
segment_11: start_time=8.986667s, end_time=9.162667s, duration=0.176000s
segment_12: start_time=9.194667s, end_time=9.530667s, duration=0.336000s
segment_13: start_time=10.570667s, end_time=10.688000s, duration=0.117333s
segment_14: start_time=10.725333s, end_time=11.077333s, duration=0.352000s
segment_15: start_time=12.117333s, end_time=12.282667s, duration=0.165333s
segment_16: start_time=12.309333s, end_time=12.656000s, duration=0.346667s
segment_17: start_time=13.717333s, end_time=13.898667s, duration=0.181333s
segment_18: start_time=13.925333s, end_time=14.266667s, duration=0.341333s
segment_19: start_time=15.264000s, end_time=15.418667s, duration=0.154667s
segment_20: start_time=15.450667s, end_time=15.776000s, duration=0.325333s
mean_duration = 0.252000s
