# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/shakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 20
segment_1: start_time=1.392000s, end_time=1.584000s, duration=0.192000s
segment_2: start_time=1.605333s, end_time=1.952000s, duration=0.346667s
segment_3: start_time=2.832000s, end_time=3.034667s, duration=0.202667s
segment_4: start_time=3.050667s, end_time=3.429333s, duration=0.378667s
segment_5: start_time=4.346667s, end_time=4.522667s, duration=0.176000s
segment_6: start_time=4.549333s, end_time=4.890667s, duration=0.341333s
segment_7: start_time=5.936000s, end_time=6.101333s, duration=0.165333s
segment_8: start_time=6.149333s, end_time=6.485333s, duration=0.336000s
segment_9: start_time=7.488000s, end_time=7.685333s, duration=0.197333s
segment_10: start_time=7.712000s, end_time=8.064000s, duration=0.352000s
segment_11: start_time=9.050667s, end_time=9.226667s, duration=0.176000s
segment_12: start_time=9.248000s, end_time=9.600000s, duration=0.352000s
segment_13: start_time=10.581333s, end_time=10.762667s, duration=0.181333s
segment_14: start_time=10.794667s, end_time=11.162667s, duration=0.368000s
segment_15: start_time=12.160000s, end_time=12.357333s, duration=0.197333s
segment_16: start_time=12.394667s, end_time=12.741333s, duration=0.346667s
segment_17: start_time=13.744000s, end_time=13.930667s, duration=0.186667s
segment_18: start_time=13.978667s, end_time=14.325333s, duration=0.346667s
segment_19: start_time=15.301333s, end_time=15.509333s, duration=0.208000s
segment_20: start_time=15.541333s, end_time=15.888000s, duration=0.346667s
mean_duration = 0.269867s
