# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/takana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 20
segment_1: start_time=1.317333s, end_time=1.440000s, duration=0.122667s
segment_2: start_time=1.482667s, end_time=1.818667s, duration=0.336000s
segment_3: start_time=2.928000s, end_time=3.034667s, duration=0.106667s
segment_4: start_time=3.077333s, end_time=3.440000s, duration=0.362667s
segment_5: start_time=4.506667s, end_time=4.640000s, duration=0.133333s
segment_6: start_time=4.661333s, end_time=5.018667s, duration=0.357333s
segment_7: start_time=6.042667s, end_time=6.149333s, duration=0.106667s
segment_8: start_time=6.181333s, end_time=6.570667s, duration=0.389333s
segment_9: start_time=7.621333s, end_time=7.733333s, duration=0.112000s
segment_10: start_time=7.765333s, end_time=8.128000s, duration=0.362667s
segment_11: start_time=9.152000s, end_time=9.280000s, duration=0.128000s
segment_12: start_time=9.312000s, end_time=9.669333s, duration=0.357333s
segment_13: start_time=10.688000s, end_time=10.826667s, duration=0.138667s
segment_14: start_time=10.874667s, end_time=11.232000s, duration=0.357333s
segment_15: start_time=12.314667s, end_time=12.469333s, duration=0.154667s
segment_16: start_time=12.474667s, end_time=12.842667s, duration=0.368000s
segment_17: start_time=13.840000s, end_time=13.978667s, duration=0.138667s
segment_18: start_time=14.005333s, end_time=14.378667s, duration=0.373333s
segment_19: start_time=15.434667s, end_time=15.557333s, duration=0.122667s
segment_20: start_time=15.578667s, end_time=15.946667s, duration=0.368000s
mean_duration = 0.244800s
