# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word/10times_05/thakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=1.354667s, end_time=1.642667s, duration=0.288000s
segment_2: start_time=1.658667s, end_time=1.824000s, duration=0.165333s
segment_3: start_time=1.850667s, end_time=1.994667s, duration=0.144000s
segment_4: start_time=2.880000s, end_time=3.125333s, duration=0.245333s
segment_5: start_time=3.146667s, end_time=3.509333s, duration=0.362667s
segment_6: start_time=4.421333s, end_time=4.698667s, duration=0.277333s
segment_7: start_time=4.730667s, end_time=5.098667s, duration=0.368000s
segment_8: start_time=5.973333s, end_time=6.240000s, duration=0.266667s
segment_9: start_time=6.277333s, end_time=6.640000s, duration=0.362667s
segment_10: start_time=7.557333s, end_time=7.797333s, duration=0.240000s
segment_11: start_time=7.829333s, end_time=8.186667s, duration=0.357333s
segment_12: start_time=9.098667s, end_time=9.344000s, duration=0.245333s
segment_13: start_time=9.386667s, end_time=9.738667s, duration=0.352000s
segment_14: start_time=10.672000s, end_time=10.960000s, duration=0.288000s
segment_15: start_time=10.992000s, end_time=11.344000s, duration=0.352000s
segment_16: start_time=12.208000s, end_time=12.490667s, duration=0.282667s
segment_17: start_time=12.512000s, end_time=12.880000s, duration=0.368000s
segment_18: start_time=13.781333s, end_time=14.058667s, duration=0.277333s
segment_19: start_time=14.096000s, end_time=14.474667s, duration=0.378667s
segment_20: start_time=15.322667s, end_time=15.616000s, duration=0.293333s
segment_21: start_time=15.632000s, end_time=15.984000s, duration=0.352000s
mean_duration = 0.298413s
