# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 18
segment_1: start_time=0.368000s, end_time=1.530667s, duration=1.162667s
segment_2: start_time=1.557333s, end_time=1.904000s, duration=0.346667s
segment_3: start_time=2.314667s, end_time=2.325333s, duration=0.010667s
segment_4: start_time=2.709333s, end_time=2.730667s, duration=0.021333s
segment_5: start_time=2.746667s, end_time=2.762667s, duration=0.016000s
segment_6: start_time=2.773333s, end_time=2.794667s, duration=0.021333s
segment_7: start_time=2.805333s, end_time=3.072000s, duration=0.266667s
segment_8: start_time=3.088000s, end_time=3.440000s, duration=0.352000s
segment_9: start_time=4.544000s, end_time=4.704000s, duration=0.160000s
segment_10: start_time=4.746667s, end_time=5.114667s, duration=0.368000s
segment_11: start_time=6.176000s, end_time=6.389333s, duration=0.213333s
segment_12: start_time=6.410667s, end_time=6.789333s, duration=0.378667s
segment_13: start_time=7.754667s, end_time=7.994667s, duration=0.240000s
segment_14: start_time=8.021333s, end_time=8.400000s, duration=0.378667s
segment_15: start_time=9.338667s, end_time=9.653333s, duration=0.314667s
segment_16: start_time=9.664000s, end_time=10.000000s, duration=0.336000s
segment_17: start_time=11.610667s, end_time=11.621333s, duration=0.010667s
segment_18: start_time=11.696000s, end_time=11.824000s, duration=0.128000s
mean_duration = 0.262519s
