# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 13
segment_1: start_time=0.357333s, end_time=1.562667s, duration=1.205333s
segment_2: start_time=1.946667s, end_time=2.661333s, duration=0.714667s
segment_3: start_time=2.682667s, end_time=3.056000s, duration=0.373333s
segment_4: start_time=3.968000s, end_time=4.069333s, duration=0.101333s
segment_5: start_time=4.096000s, end_time=4.437333s, duration=0.341333s
segment_6: start_time=4.469333s, end_time=4.821333s, duration=0.352000s
segment_7: start_time=5.904000s, end_time=6.053333s, duration=0.149333s
segment_8: start_time=6.074667s, end_time=6.448000s, duration=0.373333s
segment_9: start_time=7.584000s, end_time=8.128000s, duration=0.544000s
segment_10: start_time=9.024000s, end_time=9.050667s, duration=0.026667s
segment_11: start_time=9.210667s, end_time=9.781333s, duration=0.570667s
segment_12: start_time=10.869333s, end_time=11.066667s, duration=0.197333s
segment_13: start_time=11.109333s, end_time=11.386667s, duration=0.277333s
mean_duration = 0.402051s
