# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: pre_sakana.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.373333s, end_time=1.866667s, duration=1.493333s
segment_2: start_time=2.576000s, end_time=2.592000s, duration=0.016000s
segment_3: start_time=2.640000s, end_time=2.661333s, duration=0.021333s
segment_4: start_time=2.730667s, end_time=3.306667s, duration=0.576000s
segment_5: start_time=4.112000s, end_time=4.122667s, duration=0.010667s
segment_6: start_time=4.277333s, end_time=4.848000s, duration=0.570667s
segment_7: start_time=5.813333s, end_time=6.378667s, duration=0.565333s
segment_8: start_time=7.381333s, end_time=7.930667s, duration=0.549333s
segment_9: start_time=8.922667s, end_time=9.498667s, duration=0.576000s
segment_10: start_time=10.506667s, end_time=11.061333s, duration=0.554667s
segment_11: start_time=11.861333s, end_time=11.882667s, duration=0.021333s
segment_12: start_time=12.048000s, end_time=12.064000s, duration=0.016000s
segment_13: start_time=12.069333s, end_time=12.261333s, duration=0.192000s
segment_14: start_time=12.293333s, end_time=12.640000s, duration=0.346667s
segment_15: start_time=13.386667s, end_time=13.466667s, duration=0.080000s
segment_16: start_time=13.472000s, end_time=14.218667s, duration=0.746667s
segment_17: start_time=14.656000s, end_time=14.736000s, duration=0.080000s
segment_18: start_time=14.805333s, end_time=14.874667s, duration=0.069333s
segment_19: start_time=14.938667s, end_time=15.365333s, duration=0.426667s
segment_20: start_time=15.381333s, end_time=15.744000s, duration=0.362667s
segment_21: start_time=16.154667s, end_time=16.922667s, duration=0.768000s
mean_duration = 0.382984s
