band_hz,feature_dim,cv_mean_accuracy,best_params_json
1.0,8000,0.7314285714285715,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.7257142857142858,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.7257142857142858,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.7314285714285715,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.7371428571428572,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.7371428571428572,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.7371428571428572,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
20.0,400,0.7371428571428572,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
25.0,320,0.7371428571428572,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
30.0,267,0.7257142857142858,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
40.0,200,0.7314285714285715,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
50.0,160,0.72,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
60.0,134,0.7428571428571429,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
70.0,115,0.7428571428571429,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
80.0,100,0.7828571428571429,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
100.0,80,0.7371428571428572,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
