band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.74,0.72,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.76,0.74,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.76,0.76,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.77,0.76,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.7699999999999999,0.78,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.76,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.76,0.8,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
15.0,534,0.775,0.82,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
20.0,400,0.7799999999999999,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
25.0,320,0.78,0.82,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
30.0,267,0.77,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.78,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
40.0,200,0.7949999999999999,0.86,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
45.0,178,0.77,0.88,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
50.0,160,0.77,0.86,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.79,0.86,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
60.0,134,0.78,0.9,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
65.0,124,0.8,0.92,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
70.0,115,0.7899999999999999,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
75.0,107,0.755,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
80.0,100,0.7899999999999999,0.88,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
85.0,95,0.78,0.9,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
90.0,89,0.77,0.92,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
95.0,85,0.775,0.9,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
100.0,80,0.7899999999999999,0.94,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
