# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.400000s, end_time=1.210667s, duration=0.810667s
segment_2: start_time=1.274667s, end_time=1.365333s, duration=0.090667s
segment_3: start_time=1.376000s, end_time=1.397333s, duration=0.021333s
segment_4: start_time=1.402667s, end_time=1.984000s, duration=0.581333s
segment_5: start_time=2.885333s, end_time=3.386667s, duration=0.501333s
segment_6: start_time=4.277333s, end_time=4.784000s, duration=0.506667s
segment_7: start_time=5.808000s, end_time=6.309333s, duration=0.501333s
segment_8: start_time=6.560000s, end_time=6.576000s, duration=0.016000s
segment_9: start_time=6.640000s, end_time=6.704000s, duration=0.064000s
segment_10: start_time=7.381333s, end_time=7.866667s, duration=0.485333s
segment_11: start_time=8.906667s, end_time=9.029333s, duration=0.122667s
segment_12: start_time=9.034667s, end_time=9.413333s, duration=0.378667s
segment_13: start_time=10.522667s, end_time=10.986667s, duration=0.464000s
segment_14: start_time=12.069333s, end_time=12.565333s, duration=0.496000s
segment_15: start_time=13.621333s, end_time=14.149333s, duration=0.528000s
segment_16: start_time=14.645333s, end_time=14.656000s, duration=0.010667s
segment_17: start_time=15.136000s, end_time=15.658667s, duration=0.522667s
segment_18: start_time=15.712000s, end_time=15.786667s, duration=0.074667s
segment_19: start_time=15.845333s, end_time=16.069333s, duration=0.224000s
segment_20: start_time=16.080000s, end_time=16.096000s, duration=0.016000s
segment_21: start_time=16.101333s, end_time=16.954667s, duration=0.853333s
mean_duration = 0.346159s
