# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 14
segment_1: start_time=0.378667s, end_time=1.722667s, duration=1.344000s
segment_2: start_time=2.709333s, end_time=3.248000s, duration=0.538667s
segment_3: start_time=4.293333s, end_time=4.826667s, duration=0.533333s
segment_4: start_time=5.840000s, end_time=6.341333s, duration=0.501333s
segment_5: start_time=7.360000s, end_time=7.882667s, duration=0.522667s
segment_6: start_time=8.928000s, end_time=9.445333s, duration=0.517333s
segment_7: start_time=10.448000s, end_time=10.986667s, duration=0.538667s
segment_8: start_time=12.026667s, end_time=12.549333s, duration=0.522667s
segment_9: start_time=13.552000s, end_time=14.090667s, duration=0.538667s
segment_10: start_time=14.314667s, end_time=14.362667s, duration=0.048000s
segment_11: start_time=15.173333s, end_time=15.930667s, duration=0.757333s
segment_12: start_time=15.941333s, end_time=15.957333s, duration=0.016000s
segment_13: start_time=15.978667s, end_time=16.096000s, duration=0.117333s
segment_14: start_time=16.106667s, end_time=16.954667s, duration=0.848000s
mean_duration = 0.524571s
