# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/10times_Ex1_A/shakana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 13
segment_1: start_time=0.405333s, end_time=1.770667s, duration=1.365333s
segment_2: start_time=2.240000s, end_time=2.309333s, duration=0.069333s
segment_3: start_time=2.725333s, end_time=3.285333s, duration=0.560000s
segment_4: start_time=4.314667s, end_time=4.842667s, duration=0.528000s
segment_5: start_time=5.888000s, end_time=6.410667s, duration=0.522667s
segment_6: start_time=7.408000s, end_time=7.418667s, duration=0.010667s
segment_7: start_time=7.493333s, end_time=8.016000s, duration=0.522667s
segment_8: start_time=9.029333s, end_time=9.557333s, duration=0.528000s
segment_9: start_time=10.602667s, end_time=11.125333s, duration=0.522667s
segment_10: start_time=12.138667s, end_time=12.677333s, duration=0.538667s
segment_11: start_time=13.690667s, end_time=14.224000s, duration=0.533333s
segment_12: start_time=15.248000s, end_time=15.829333s, duration=0.581333s
segment_13: start_time=15.845333s, end_time=16.970667s, duration=1.125333s
mean_duration = 0.569846s
