# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 19
segment_1: start_time=0.378667s, end_time=1.824000s, duration=1.445333s
segment_2: start_time=1.882667s, end_time=1.973333s, duration=0.090667s
segment_3: start_time=2.309333s, end_time=2.394667s, duration=0.085333s
segment_4: start_time=2.784000s, end_time=3.296000s, duration=0.512000s
segment_5: start_time=4.192000s, end_time=4.218667s, duration=0.026667s
segment_6: start_time=4.288000s, end_time=4.794667s, duration=0.506667s
segment_7: start_time=5.760000s, end_time=6.261333s, duration=0.501333s
segment_8: start_time=7.301333s, end_time=7.498667s, duration=0.197333s
segment_9: start_time=7.509333s, end_time=8.117333s, duration=0.608000s
segment_10: start_time=8.912000s, end_time=9.034667s, duration=0.122667s
segment_11: start_time=9.045333s, end_time=9.408000s, duration=0.362667s
segment_12: start_time=10.448000s, end_time=10.949333s, duration=0.501333s
segment_13: start_time=11.984000s, end_time=12.122667s, duration=0.138667s
segment_14: start_time=12.144000s, end_time=12.533333s, duration=0.389333s
segment_15: start_time=13.616000s, end_time=14.160000s, duration=0.544000s
segment_16: start_time=15.152000s, end_time=15.685333s, duration=0.533333s
segment_17: start_time=15.781333s, end_time=15.797333s, duration=0.016000s
segment_18: start_time=15.978667s, end_time=15.994667s, duration=0.016000s
segment_19: start_time=16.016000s, end_time=17.024000s, duration=1.008000s
mean_duration = 0.400281s
