# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/10times_Ex1_A/takana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 21
segment_1: start_time=0.378667s, end_time=1.845333s, duration=1.466667s
segment_2: start_time=2.165333s, end_time=2.245333s, duration=0.080000s
segment_3: start_time=2.794667s, end_time=3.306667s, duration=0.512000s
segment_4: start_time=4.128000s, end_time=4.144000s, duration=0.016000s
segment_5: start_time=4.224000s, end_time=4.741333s, duration=0.517333s
segment_6: start_time=5.712000s, end_time=6.250667s, duration=0.538667s
segment_7: start_time=6.736000s, end_time=6.752000s, duration=0.016000s
segment_8: start_time=7.392000s, end_time=7.920000s, duration=0.528000s
segment_9: start_time=8.997333s, end_time=9.493333s, duration=0.496000s
segment_10: start_time=10.517333s, end_time=11.013333s, duration=0.496000s
segment_11: start_time=12.090667s, end_time=12.208000s, duration=0.117333s
segment_12: start_time=12.229333s, end_time=12.608000s, duration=0.378667s
segment_13: start_time=12.688000s, end_time=12.709333s, duration=0.021333s
segment_14: start_time=12.752000s, end_time=12.826667s, duration=0.074667s
segment_15: start_time=13.584000s, end_time=14.117333s, duration=0.533333s
segment_16: start_time=14.965333s, end_time=14.976000s, duration=0.010667s
segment_17: start_time=14.992000s, end_time=15.018667s, duration=0.026667s
segment_18: start_time=15.141333s, end_time=15.669333s, duration=0.528000s
segment_19: start_time=15.797333s, end_time=15.882667s, duration=0.085333s
segment_20: start_time=15.888000s, end_time=16.016000s, duration=0.128000s
segment_21: start_time=16.021333s, end_time=16.933333s, duration=0.912000s
mean_duration = 0.356317s
