# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 19
segment_1: start_time=0.405333s, end_time=1.898667s, duration=1.493333s
segment_2: start_time=2.773333s, end_time=3.397333s, duration=0.624000s
segment_3: start_time=4.256000s, end_time=4.544000s, duration=0.288000s
segment_4: start_time=4.565333s, end_time=4.896000s, duration=0.330667s
segment_5: start_time=5.813333s, end_time=6.080000s, duration=0.266667s
segment_6: start_time=6.106667s, end_time=6.432000s, duration=0.325333s
segment_7: start_time=7.434667s, end_time=7.664000s, duration=0.229333s
segment_8: start_time=7.706667s, end_time=8.026667s, duration=0.320000s
segment_9: start_time=9.002667s, end_time=9.248000s, duration=0.245333s
segment_10: start_time=9.253333s, end_time=9.584000s, duration=0.330667s
segment_11: start_time=10.474667s, end_time=10.741333s, duration=0.266667s
segment_12: start_time=10.789333s, end_time=11.114667s, duration=0.325333s
segment_13: start_time=11.978667s, end_time=12.277333s, duration=0.298667s
segment_14: start_time=12.298667s, end_time=12.629333s, duration=0.330667s
segment_15: start_time=13.557333s, end_time=13.802667s, duration=0.245333s
segment_16: start_time=13.808000s, end_time=14.229333s, duration=0.421333s
segment_17: start_time=15.040000s, end_time=15.797333s, duration=0.757333s
segment_18: start_time=15.893333s, end_time=15.994667s, duration=0.101333s
segment_19: start_time=16.010667s, end_time=16.981333s, duration=0.970667s
mean_duration = 0.430035s
