# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/10times_Ex1_A/thakana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 19
segment_1: start_time=0.410667s, end_time=1.029333s, duration=0.618667s
segment_2: start_time=1.093333s, end_time=1.914667s, duration=0.821333s
segment_3: start_time=2.101333s, end_time=2.149333s, duration=0.048000s
segment_4: start_time=2.794667s, end_time=3.450667s, duration=0.656000s
segment_5: start_time=4.277333s, end_time=4.970667s, duration=0.693333s
segment_6: start_time=5.818667s, end_time=6.517333s, duration=0.698667s
segment_7: start_time=7.402667s, end_time=7.669333s, duration=0.266667s
segment_8: start_time=7.696000s, end_time=8.021333s, duration=0.325333s
segment_9: start_time=8.864000s, end_time=9.093333s, duration=0.229333s
segment_10: start_time=9.104000s, end_time=9.450667s, duration=0.346667s
segment_11: start_time=10.261333s, end_time=10.906667s, duration=0.645333s
segment_12: start_time=11.893333s, end_time=12.533333s, duration=0.640000s
segment_13: start_time=13.429333s, end_time=14.106667s, duration=0.677333s
segment_14: start_time=14.869333s, end_time=14.954667s, duration=0.085333s
segment_15: start_time=15.093333s, end_time=15.760000s, duration=0.666667s
segment_16: start_time=15.776000s, end_time=15.786667s, duration=0.010667s
segment_17: start_time=15.872000s, end_time=15.946667s, duration=0.074667s
segment_18: start_time=15.984000s, end_time=16.000000s, duration=0.016000s
segment_19: start_time=16.016000s, end_time=16.992000s, duration=0.976000s
mean_duration = 0.447158s
