# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/tyakana2.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.373333s, end_time=1.226667s, duration=0.853333s
segment_2: start_time=1.269333s, end_time=1.914667s, duration=0.645333s
segment_3: start_time=2.021333s, end_time=2.037333s, duration=0.016000s
segment_4: start_time=2.805333s, end_time=3.333333s, duration=0.528000s
segment_5: start_time=4.304000s, end_time=4.832000s, duration=0.528000s
segment_6: start_time=5.776000s, end_time=6.288000s, duration=0.512000s
segment_7: start_time=7.370667s, end_time=7.888000s, duration=0.517333s
segment_8: start_time=8.890667s, end_time=9.392000s, duration=0.501333s
segment_9: start_time=10.394667s, end_time=10.538667s, duration=0.144000s
segment_10: start_time=10.549333s, end_time=10.917333s, duration=0.368000s
segment_11: start_time=11.696000s, end_time=11.765333s, duration=0.069333s
segment_12: start_time=12.000000s, end_time=12.522667s, duration=0.522667s
segment_13: start_time=12.880000s, end_time=12.944000s, duration=0.064000s
segment_14: start_time=13.493333s, end_time=14.037333s, duration=0.544000s
segment_15: start_time=14.666667s, end_time=14.677333s, duration=0.010667s
segment_16: start_time=15.045333s, end_time=15.605333s, duration=0.560000s
segment_17: start_time=15.680000s, end_time=15.696000s, duration=0.016000s
segment_18: start_time=15.712000s, end_time=15.728000s, duration=0.016000s
segment_19: start_time=15.781333s, end_time=15.797333s, duration=0.016000s
segment_20: start_time=15.813333s, end_time=15.829333s, duration=0.016000s
segment_21: start_time=15.893333s, end_time=15.930667s, duration=0.037333s
segment_22: start_time=15.936000s, end_time=16.912000s, duration=0.976000s
mean_duration = 0.339152s
