# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/10times_Ex1_A/tyakana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 18
segment_1: start_time=0.389333s, end_time=1.328000s, duration=0.938667s
segment_2: start_time=1.338667s, end_time=1.920000s, duration=0.581333s
segment_3: start_time=2.885333s, end_time=3.392000s, duration=0.506667s
segment_4: start_time=4.400000s, end_time=4.912000s, duration=0.512000s
segment_5: start_time=5.946667s, end_time=6.442667s, duration=0.496000s
segment_6: start_time=7.472000s, end_time=7.594667s, duration=0.122667s
segment_7: start_time=7.605333s, end_time=7.962667s, duration=0.357333s
segment_8: start_time=8.976000s, end_time=9.493333s, duration=0.517333s
segment_9: start_time=9.520000s, end_time=9.648000s, duration=0.128000s
segment_10: start_time=10.602667s, end_time=11.109333s, duration=0.506667s
segment_11: start_time=12.165333s, end_time=12.698667s, duration=0.533333s
segment_12: start_time=13.685333s, end_time=14.202667s, duration=0.517333s
segment_13: start_time=14.672000s, end_time=14.730667s, duration=0.058667s
segment_14: start_time=15.045333s, end_time=15.056000s, duration=0.010667s
segment_15: start_time=15.306667s, end_time=15.861333s, duration=0.554667s
segment_16: start_time=15.952000s, end_time=15.962667s, duration=0.010667s
segment_17: start_time=16.005333s, end_time=16.021333s, duration=0.016000s
segment_18: start_time=16.042667s, end_time=16.944000s, duration=0.901333s
mean_duration = 0.403852s
