# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana2.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 24
segment_1: start_time=0.378667s, end_time=1.232000s, duration=0.853333s
segment_2: start_time=1.237333s, end_time=1.258667s, duration=0.021333s
segment_3: start_time=1.482667s, end_time=2.064000s, duration=0.581333s
segment_4: start_time=2.981333s, end_time=3.514667s, duration=0.533333s
segment_5: start_time=3.978667s, end_time=4.010667s, duration=0.032000s
segment_6: start_time=4.565333s, end_time=4.730667s, duration=0.165333s
segment_7: start_time=4.752000s, end_time=5.093333s, duration=0.341333s
segment_8: start_time=6.149333s, end_time=6.325333s, duration=0.176000s
segment_9: start_time=6.341333s, end_time=6.672000s, duration=0.330667s
segment_10: start_time=7.056000s, end_time=7.072000s, duration=0.016000s
segment_11: start_time=7.141333s, end_time=7.189333s, duration=0.048000s
segment_12: start_time=7.776000s, end_time=7.941333s, duration=0.165333s
segment_13: start_time=7.962667s, end_time=8.298667s, duration=0.336000s
segment_14: start_time=9.120000s, end_time=9.146667s, duration=0.026667s
segment_15: start_time=9.333333s, end_time=9.504000s, duration=0.170667s
segment_16: start_time=9.514667s, end_time=9.845333s, duration=0.330667s
segment_17: start_time=10.917333s, end_time=11.082667s, duration=0.165333s
segment_18: start_time=11.114667s, end_time=11.450667s, duration=0.336000s
segment_19: start_time=12.448000s, end_time=12.970667s, duration=0.522667s
segment_20: start_time=13.973333s, end_time=14.154667s, duration=0.181333s
segment_21: start_time=14.160000s, end_time=14.506667s, duration=0.346667s
segment_22: start_time=15.472000s, end_time=16.101333s, duration=0.629333s
segment_23: start_time=16.117333s, end_time=16.128000s, duration=0.010667s
segment_24: start_time=16.229333s, end_time=17.162667s, duration=0.933333s
mean_duration = 0.302222s
