# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 20
segment_1: start_time=0.378667s, end_time=2.085333s, duration=1.706667s
segment_2: start_time=2.112000s, end_time=2.133333s, duration=0.021333s
segment_3: start_time=2.138667s, end_time=2.165333s, duration=0.026667s
segment_4: start_time=2.981333s, end_time=3.594667s, duration=0.613333s
segment_5: start_time=4.512000s, end_time=5.088000s, duration=0.576000s
segment_6: start_time=6.106667s, end_time=6.304000s, duration=0.197333s
segment_7: start_time=6.314667s, end_time=6.656000s, duration=0.341333s
segment_8: start_time=7.082667s, end_time=7.114667s, duration=0.032000s
segment_9: start_time=7.722667s, end_time=7.914667s, duration=0.192000s
segment_10: start_time=7.930667s, end_time=8.272000s, duration=0.341333s
segment_11: start_time=9.210667s, end_time=9.402667s, duration=0.192000s
segment_12: start_time=9.413333s, end_time=9.760000s, duration=0.346667s
segment_13: start_time=10.784000s, end_time=10.986667s, duration=0.202667s
segment_14: start_time=11.002667s, end_time=11.360000s, duration=0.357333s
segment_15: start_time=12.213333s, end_time=12.245333s, duration=0.032000s
segment_16: start_time=12.405333s, end_time=12.981333s, duration=0.576000s
segment_17: start_time=13.973333s, end_time=14.560000s, duration=0.586667s
segment_18: start_time=14.725333s, end_time=14.741333s, duration=0.016000s
segment_19: start_time=15.146667s, end_time=15.157333s, duration=0.010667s
segment_20: start_time=15.477333s, end_time=17.061333s, duration=1.584000s
mean_duration = 0.397600s
