# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana5.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 29
segment_1: start_time=0.373333s, end_time=1.365333s, duration=0.992000s
segment_2: start_time=1.370667s, end_time=1.525333s, duration=0.154667s
segment_3: start_time=1.546667s, end_time=2.128000s, duration=0.581333s
segment_4: start_time=3.072000s, end_time=3.200000s, duration=0.128000s
segment_5: start_time=3.232000s, end_time=3.594667s, duration=0.362667s
segment_6: start_time=4.581333s, end_time=4.709333s, duration=0.128000s
segment_7: start_time=4.741333s, end_time=5.082667s, duration=0.341333s
segment_8: start_time=6.122667s, end_time=6.272000s, duration=0.149333s
segment_9: start_time=6.314667s, end_time=6.677333s, duration=0.362667s
segment_10: start_time=7.344000s, end_time=7.360000s, duration=0.016000s
segment_11: start_time=7.408000s, end_time=7.488000s, duration=0.080000s
segment_12: start_time=7.674667s, end_time=7.818667s, duration=0.144000s
segment_13: start_time=7.866667s, end_time=8.213333s, duration=0.346667s
segment_14: start_time=9.290667s, end_time=9.418667s, duration=0.128000s
segment_15: start_time=9.466667s, end_time=9.930667s, duration=0.464000s
segment_16: start_time=10.032000s, end_time=10.053333s, duration=0.021333s
segment_17: start_time=10.069333s, end_time=10.133333s, duration=0.064000s
segment_18: start_time=10.880000s, end_time=11.034667s, duration=0.154667s
segment_19: start_time=11.093333s, end_time=11.445333s, duration=0.352000s
segment_20: start_time=12.432000s, end_time=12.986667s, duration=0.554667s
segment_21: start_time=14.010667s, end_time=14.202667s, duration=0.192000s
segment_22: start_time=14.250667s, end_time=14.629333s, duration=0.378667s
segment_23: start_time=14.746667s, end_time=14.762667s, duration=0.016000s
segment_24: start_time=14.928000s, end_time=15.002667s, duration=0.074667s
segment_25: start_time=15.210667s, end_time=15.226667s, duration=0.016000s
segment_26: start_time=15.237333s, end_time=15.296000s, duration=0.058667s
segment_27: start_time=15.445333s, end_time=15.461333s, duration=0.016000s
segment_28: start_time=15.472000s, end_time=15.493333s, duration=0.021333s
segment_29: start_time=15.504000s, end_time=17.125333s, duration=1.621333s
mean_duration = 0.273103s
