# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/tyakana4.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 28
segment_1: start_time=0.373333s, end_time=0.784000s, duration=0.410667s
segment_2: start_time=0.810667s, end_time=0.992000s, duration=0.181333s
segment_3: start_time=1.008000s, end_time=1.018667s, duration=0.010667s
segment_4: start_time=1.050667s, end_time=1.184000s, duration=0.133333s
segment_5: start_time=1.237333s, end_time=1.290667s, duration=0.053333s
segment_6: start_time=1.376000s, end_time=1.424000s, duration=0.048000s
segment_7: start_time=1.456000s, end_time=2.010667s, duration=0.554667s
segment_8: start_time=2.576000s, end_time=2.592000s, duration=0.016000s
segment_9: start_time=2.613333s, end_time=2.730667s, duration=0.117333s
segment_10: start_time=3.082667s, end_time=3.248000s, duration=0.165333s
segment_11: start_time=3.264000s, end_time=3.626667s, duration=0.362667s
segment_12: start_time=4.650667s, end_time=4.816000s, duration=0.165333s
segment_13: start_time=4.837333s, end_time=5.194667s, duration=0.357333s
segment_14: start_time=6.208000s, end_time=6.362667s, duration=0.154667s
segment_15: start_time=6.384000s, end_time=6.725333s, duration=0.341333s
segment_16: start_time=7.738667s, end_time=7.904000s, duration=0.165333s
segment_17: start_time=7.930667s, end_time=8.250667s, duration=0.320000s
segment_18: start_time=9.344000s, end_time=9.514667s, duration=0.170667s
segment_19: start_time=9.525333s, end_time=9.872000s, duration=0.346667s
segment_20: start_time=10.885333s, end_time=11.045333s, duration=0.160000s
segment_21: start_time=11.072000s, end_time=11.088000s, duration=0.016000s
segment_22: start_time=11.098667s, end_time=11.418667s, duration=0.320000s
segment_23: start_time=11.680000s, end_time=11.690667s, duration=0.010667s
segment_24: start_time=12.426667s, end_time=12.976000s, duration=0.549333s
segment_25: start_time=13.973333s, end_time=14.133333s, duration=0.160000s
segment_26: start_time=14.149333s, end_time=14.517333s, duration=0.368000s
segment_27: start_time=15.210667s, end_time=15.226667s, duration=0.016000s
segment_28: start_time=15.541333s, end_time=17.024000s, duration=1.482667s
mean_duration = 0.255619s
