# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/sakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 23
segment_1: start_time=0.384000s, end_time=1.146667s, duration=0.762667s
segment_2: start_time=1.205333s, end_time=1.248000s, duration=0.042667s
segment_3: start_time=1.274667s, end_time=1.360000s, duration=0.085333s
segment_4: start_time=1.381333s, end_time=2.106667s, duration=0.725333s
segment_5: start_time=2.890667s, end_time=3.018667s, duration=0.128000s
segment_6: start_time=3.056000s, end_time=3.472000s, duration=0.416000s
segment_7: start_time=4.373333s, end_time=4.501333s, duration=0.128000s
segment_8: start_time=4.544000s, end_time=4.933333s, duration=0.389333s
segment_9: start_time=5.850667s, end_time=5.962667s, duration=0.112000s
segment_10: start_time=6.000000s, end_time=6.389333s, duration=0.389333s
segment_11: start_time=7.306667s, end_time=7.317333s, duration=0.010667s
segment_12: start_time=7.402667s, end_time=7.488000s, duration=0.085333s
segment_13: start_time=7.536000s, end_time=7.909333s, duration=0.373333s
segment_14: start_time=8.400000s, end_time=8.410667s, duration=0.010667s
segment_15: start_time=8.922667s, end_time=9.040000s, duration=0.117333s
segment_16: start_time=9.072000s, end_time=9.445333s, duration=0.373333s
segment_17: start_time=10.538667s, end_time=10.624000s, duration=0.085333s
segment_18: start_time=10.666667s, end_time=11.050667s, duration=0.384000s
segment_19: start_time=12.042667s, end_time=12.149333s, duration=0.106667s
segment_20: start_time=12.186667s, end_time=12.613333s, duration=0.426667s
segment_21: start_time=13.525333s, end_time=14.085333s, duration=0.560000s
segment_22: start_time=14.650667s, end_time=14.677333s, duration=0.026667s
segment_23: start_time=15.050667s, end_time=16.693333s, duration=1.642667s
mean_duration = 0.320928s
