# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/shakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.394667s, end_time=2.128000s, duration=1.733333s
segment_2: start_time=2.645333s, end_time=2.661333s, duration=0.016000s
segment_3: start_time=2.901333s, end_time=3.488000s, duration=0.586667s
segment_4: start_time=4.309333s, end_time=4.501333s, duration=0.192000s
segment_5: start_time=4.512000s, end_time=4.906667s, duration=0.394667s
segment_6: start_time=5.786667s, end_time=5.973333s, duration=0.186667s
segment_7: start_time=5.989333s, end_time=6.368000s, duration=0.378667s
segment_8: start_time=7.269333s, end_time=7.402667s, duration=0.133333s
segment_9: start_time=7.445333s, end_time=7.818667s, duration=0.373333s
segment_10: start_time=8.826667s, end_time=8.986667s, duration=0.160000s
segment_11: start_time=8.997333s, end_time=9.381333s, duration=0.384000s
segment_12: start_time=10.362667s, end_time=10.544000s, duration=0.181333s
segment_13: start_time=10.560000s, end_time=10.938667s, duration=0.378667s
segment_14: start_time=11.909333s, end_time=12.080000s, duration=0.170667s
segment_15: start_time=12.096000s, end_time=12.453333s, duration=0.357333s
segment_16: start_time=13.408000s, end_time=14.064000s, duration=0.656000s
segment_17: start_time=14.608000s, end_time=14.736000s, duration=0.128000s
segment_18: start_time=14.752000s, end_time=14.816000s, duration=0.064000s
segment_19: start_time=14.848000s, end_time=14.928000s, duration=0.080000s
segment_20: start_time=14.944000s, end_time=14.960000s, duration=0.016000s
segment_21: start_time=15.002667s, end_time=15.637333s, duration=0.634667s
segment_22: start_time=15.840000s, end_time=16.704000s, duration=0.864000s
mean_duration = 0.366788s
