band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.93,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.925,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.925,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.925,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.925,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.925,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.9299999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
15.0,534,0.925,0.98,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
20.0,400,0.925,0.98,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
25.0,320,0.925,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
30.0,267,0.9199999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.9199999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
40.0,200,0.9199999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
45.0,178,0.9199999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
50.0,160,0.9200000000000002,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.925,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
60.0,134,0.9299999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
65.0,124,0.9199999999999999,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
70.0,115,0.9299999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
75.0,107,0.925,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
80.0,100,0.9349999999999999,0.98,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
85.0,95,0.925,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
90.0,89,0.9350000000000002,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
95.0,85,0.9400000000000001,0.96,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
100.0,80,0.9349999999999999,0.96,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
200.0,40,0.9349999999999999,0.98,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
300.0,27,0.915,0.94,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
400.0,20,0.875,0.84,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
500.0,16,0.825,0.78,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
600.0,14,0.7949999999999999,0.76,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
700.0,12,0.73,0.7,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
800.0,10,0.76,0.76,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
900.0,9,0.675,0.62,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.7450000000000001,0.72,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
