# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 18
segment_1: start_time=0.389333s, end_time=2.266667s, duration=1.877333s
segment_2: start_time=2.896000s, end_time=3.312000s, duration=0.416000s
segment_3: start_time=3.360000s, end_time=3.866667s, duration=0.506667s
segment_4: start_time=4.549333s, end_time=4.874667s, duration=0.325333s
segment_5: start_time=4.922667s, end_time=5.370667s, duration=0.448000s
segment_6: start_time=6.165333s, end_time=6.464000s, duration=0.298667s
segment_7: start_time=6.522667s, end_time=6.928000s, duration=0.405333s
segment_8: start_time=7.760000s, end_time=8.000000s, duration=0.240000s
segment_9: start_time=8.074667s, end_time=8.512000s, duration=0.437333s
segment_10: start_time=9.333333s, end_time=9.541333s, duration=0.208000s
segment_11: start_time=9.578667s, end_time=10.037333s, duration=0.458667s
segment_12: start_time=10.800000s, end_time=11.061333s, duration=0.261333s
segment_13: start_time=11.077333s, end_time=11.584000s, duration=0.506667s
segment_14: start_time=12.378667s, end_time=13.221333s, duration=0.842667s
segment_15: start_time=13.781333s, end_time=13.840000s, duration=0.058667s
segment_16: start_time=13.930667s, end_time=14.789333s, duration=0.858667s
segment_17: start_time=15.376000s, end_time=15.424000s, duration=0.048000s
segment_18: start_time=15.445333s, end_time=16.730667s, duration=1.285333s
mean_duration = 0.526815s
