# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/takana6.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 22
segment_1: start_time=0.400000s, end_time=1.786667s, duration=1.386667s
segment_2: start_time=2.320000s, end_time=2.384000s, duration=0.064000s
segment_3: start_time=2.848000s, end_time=2.933333s, duration=0.085333s
segment_4: start_time=2.976000s, end_time=3.290667s, duration=0.314667s
segment_5: start_time=4.437333s, end_time=4.517333s, duration=0.080000s
segment_6: start_time=4.565333s, end_time=4.901333s, duration=0.336000s
segment_7: start_time=6.005333s, end_time=6.096000s, duration=0.090667s
segment_8: start_time=6.149333s, end_time=6.469333s, duration=0.320000s
segment_9: start_time=7.472000s, end_time=7.573333s, duration=0.101333s
segment_10: start_time=7.632000s, end_time=7.952000s, duration=0.320000s
segment_11: start_time=9.029333s, end_time=9.114667s, duration=0.085333s
segment_12: start_time=9.157333s, end_time=9.482667s, duration=0.325333s
segment_13: start_time=10.618667s, end_time=10.698667s, duration=0.080000s
segment_14: start_time=10.736000s, end_time=11.056000s, duration=0.320000s
segment_15: start_time=12.149333s, end_time=12.245333s, duration=0.096000s
segment_16: start_time=12.282667s, end_time=12.634667s, duration=0.352000s
segment_17: start_time=12.832000s, end_time=12.896000s, duration=0.064000s
segment_18: start_time=13.733333s, end_time=13.834667s, duration=0.101333s
segment_19: start_time=13.845333s, end_time=14.202667s, duration=0.357333s
segment_20: start_time=15.066667s, end_time=15.632000s, duration=0.565333s
segment_21: start_time=16.026667s, end_time=16.112000s, duration=0.085333s
segment_22: start_time=16.122667s, end_time=16.885333s, duration=0.762667s
mean_duration = 0.286061s
