# 有音区間(1回の発音)の推定時間 [スペクトログラム(denoised)ベース]
# file: word_Ex1/thakana3.wav
fs = 48000
hop_length = 256
frame_duration_sec = 0.005333
num_segments = 23
segment_1: start_time=0.400000s, end_time=1.941333s, duration=1.541333s
segment_2: start_time=2.858667s, end_time=3.338667s, duration=0.480000s
segment_3: start_time=4.400000s, end_time=4.538667s, duration=0.138667s
segment_4: start_time=4.560000s, end_time=4.864000s, duration=0.304000s
segment_5: start_time=5.093333s, end_time=5.130667s, duration=0.037333s
segment_6: start_time=5.957333s, end_time=6.053333s, duration=0.096000s
segment_7: start_time=6.128000s, end_time=6.442667s, duration=0.314667s
segment_8: start_time=7.536000s, end_time=7.626667s, duration=0.090667s
segment_9: start_time=7.738667s, end_time=8.069333s, duration=0.330667s
segment_10: start_time=9.072000s, end_time=9.146667s, duration=0.074667s
segment_11: start_time=9.322667s, end_time=9.637333s, duration=0.314667s
segment_12: start_time=10.522667s, end_time=10.682667s, duration=0.160000s
segment_13: start_time=10.773333s, end_time=11.072000s, duration=0.298667s
segment_14: start_time=12.293333s, end_time=12.640000s, duration=0.346667s
segment_15: start_time=13.680000s, end_time=13.797333s, duration=0.117333s
segment_16: start_time=13.872000s, end_time=14.208000s, duration=0.336000s
segment_17: start_time=14.906667s, end_time=14.965333s, duration=0.058667s
segment_18: start_time=15.114667s, end_time=15.397333s, duration=0.282667s
segment_19: start_time=15.413333s, end_time=15.781333s, duration=0.368000s
segment_20: start_time=16.021333s, end_time=16.037333s, duration=0.016000s
segment_21: start_time=16.042667s, end_time=16.058667s, duration=0.016000s
segment_22: start_time=16.074667s, end_time=16.138667s, duration=0.064000s
segment_23: start_time=16.149333s, end_time=16.810667s, duration=0.661333s
mean_duration = 0.280348s
