band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.8619999999999999,0.856,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.867,0.876,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.8720000000000001,0.868,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.876,0.868,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.876,0.884,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.883,0.888,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
10.0,800,0.882,0.888,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
15.0,534,0.883,0.888,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
20.0,400,0.8880000000000001,0.884,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
25.0,320,0.884,0.892,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
30.0,267,0.889,0.888,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
35.0,229,0.8779999999999999,0.896,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
40.0,200,0.8800000000000001,0.88,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
45.0,178,0.8799999999999999,0.888,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
50.0,160,0.868,0.896,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
55.0,146,0.873,0.864,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
60.0,134,0.8699999999999999,0.888,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
65.0,124,0.869,0.876,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
70.0,115,0.8619999999999999,0.856,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
75.0,107,0.8560000000000001,0.872,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
80.0,100,0.849,0.872,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
85.0,95,0.857,0.872,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
90.0,89,0.851,0.86,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
95.0,85,0.858,0.852,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
100.0,80,0.849,0.872,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
200.0,40,0.8159999999999998,0.812,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
300.0,27,0.8019999999999999,0.8,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
400.0,20,0.7619999999999999,0.776,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
500.0,16,0.72,0.744,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
600.0,14,0.7139999999999999,0.728,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
700.0,12,0.681,0.68,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
800.0,10,0.6859999999999999,0.664,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
900.0,9,0.651,0.656,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.618,0.648,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
